step,free_energy,stage
0,41.431666827577,physics
1,41.43453895743035,physics
2,48.64577768134666,physics
3,42.05778266403085,physics
4,39.26936984695095,physics
5,39.786832823031546,physics
6,39.36237682302764,physics
7,37.88103816679126,physics
8,37.55145014545469,physics
9,35.70487451601941,physics
10,35.26932952067493,physics
11,35.552717444590655,physics
12,34.95986975732059,physics
13,34.8412780331649,physics
14,35.22715635418927,physics
15,35.05622136869601,physics
16,35.322947559423895,physics
17,35.15571456396236,physics
18,35.47483527331158,physics
19,35.76749894046932,physics
20,35.52512889727157,physics
21,35.516255835749305,physics
22,35.56151276281554,physics
23,35.583250557062875,physics
24,35.612714459832986,physics
25,35.67264714819183,physics
26,35.723676724839464,physics
27,35.734653703934896,physics
28,35.76810858430148,physics
29,35.741557300771014,physics
30,35.59213579617092,physics
31,35.72194822667214,physics
32,35.724832120562205,physics
33,35.508093437798294,physics
34,35.679893925616106,physics
35,35.65544487453358,physics
36,35.74563319356959,physics
37,35.769145072937064,physics
38,35.74722610393472,physics
39,36.073031289046725,physics
40,36.13765142066217,physics
41,36.49406678309089,physics
42,36.72598190550794,physics
43,36.81692802290346,physics
44,37.24380173038553,physics
45,37.62820140491547,physics
46,37.30198225797441,physics
47,37.44329075857353,physics
48,37.473064797571084,physics
49,37.72192689954055,physics
50,37.73268370042017,text
51,37.49420461566048,text
52,37.479244439542484,text
53,37.47442150775604,text
54,37.35338027665266,text
55,37.67003804687053,text
56,37.644295775251585,text
57,37.440995793494174,text
58,37.24813214964861,text
59,37.364646787654955,text
60,37.34686964484892,text
61,37.614099671582714,text
62,37.80927815314975,text
63,37.54854905042632,text
64,37.58344233254087,text
65,37.74541426050678,text
66,37.37276813326203,text
67,37.39386811623825,text
68,37.355628682329375,text
69,36.99867850644232,text
70,36.79686812426072,text
71,36.68455975668024,text
72,36.55653396028616,text
73,36.73809728890916,text
74,36.63927616126622,text
75,36.74111013033285,text
76,36.71344041643205,text
77,36.80260004772051,text
78,37.00827672869063,text
79,36.689585012971264,text
80,36.580708670021785,text
81,36.45537322244499,text
82,36.272868288282744,text
83,36.33477445234592,text
84,36.71181671468988,text
85,36.73078236468186,text
86,36.79889963296903,text
87,36.72679603118165,text
88,36.62835402196726,text
89,36.68471398036913,text
90,36.722239606084976,text
91,36.47949562075774,text
92,36.6098700548903,text
93,36.32722035494846,text
94,36.189353988242125,text
95,36.36724315502596,text
96,36.48204624068579,text
97,36.68927496395545,text
98,36.91211213578911,text
99,37.40704713762584,text
100,37.4916282593263,crossmodal
101,38.012531745713886,crossmodal
102,38.113542054808654,crossmodal
103,38.160018656290795,crossmodal
104,38.22527424941202,crossmodal
105,38.14374868625877,crossmodal
106,38.1533455404764,crossmodal
107,37.85998116231922,crossmodal
108,37.88523449381417,crossmodal
109,38.01606485589184,crossmodal
110,37.893473299814424,crossmodal
111,38.20342758617657,crossmodal
112,37.856970012021286,crossmodal
113,37.81426930726286,crossmodal
114,37.79646351770756,crossmodal
115,38.00744838486908,crossmodal
116,37.83894134338046,crossmodal
117,37.83431744987007,crossmodal
118,37.91934631950821,crossmodal
119,38.046859166617146,crossmodal
120,38.03698452676758,crossmodal
121,38.028781302812796,crossmodal
122,38.258445459032686,crossmodal
123,38.38491439425191,crossmodal
124,38.02676227080233,crossmodal
125,38.1841232718365,crossmodal
126,38.64524784579444,crossmodal
127,38.69844289159172,crossmodal
128,38.49811273512925,crossmodal
129,38.31870563008684,crossmodal
130,38.22121502068516,crossmodal
131,37.87871921537778,crossmodal
132,37.805006361940606,crossmodal
133,37.69901042736269,crossmodal
134,37.621643426203576,crossmodal
135,37.428277039843714,crossmodal
136,37.228756030297234,crossmodal
137,37.13425275766588,crossmodal
138,37.174483475395654,crossmodal
139,37.203750826297416,crossmodal
140,37.145839556372785,crossmodal
141,36.8671693371762,crossmodal
142,36.897733301185596,crossmodal
143,36.66640604181475,crossmodal
144,36.764994954621585,crossmodal
145,36.98836150082146,crossmodal
146,37.14996737904179,crossmodal
147,37.09090697431079,crossmodal
148,36.861962633423175,crossmodal
149,36.93834998293193,crossmodal
150,36.99138001803426,qa
151,36.93056698986677,qa
152,36.97029991350394,qa
153,37.06358992925168,qa
154,36.90354248435074,qa
155,36.79304339449576,qa
156,36.71144781001726,qa
157,36.26916910552651,qa
158,36.05482525010177,qa
159,36.287768842051676,qa
160,36.252564611981434,qa
161,36.277900491066845,qa
162,36.24309159430355,qa
163,36.257228130885366,qa
164,36.34417415246956,qa
165,36.23546075552692,qa
166,36.228843439668005,qa
167,36.44199082740401,qa
168,36.52654845174872,qa
169,36.50753869920287,qa
