sleep_phase,round,n_replayed,mean_replay_error,mean_replay_ig,free_energy_before,free_energy_after,delta_free_energy,elapsed_s
0,0,8,37.952501,1.385998,39.066323,39.094462,0.028139,0.003017
0,1,8,37.506152,1.212133,39.094449,39.122224,0.027775,0.002740
0,2,8,37.944597,1.363444,39.122260,39.149724,0.027463,0.002685
0,3,8,37.528176,1.519353,39.149693,39.176467,0.026774,0.002716
0,4,8,36.721436,1.254168,39.176467,39.201902,0.025436,0.002726
1,0,8,38.102985,0.585758,39.888652,39.902642,0.013990,0.003034
1,1,8,38.844224,0.700048,39.902604,39.916913,0.014309,0.002718
1,2,8,37.721355,1.045875,39.916942,39.930211,0.013269,0.002706
1,3,8,38.155624,1.524192,39.930183,39.943910,0.013727,0.002705
1,4,8,37.835295,0.803598,39.943910,39.956633,0.012723,0.002681
2,0,8,37.963238,1.651964,38.430755,38.442200,0.011445,0.003057
2,1,8,38.800325,0.647368,38.442226,38.453445,0.011219,0.002880
2,2,8,38.600053,0.595991,38.453439,38.465038,0.011599,0.002880
2,3,8,38.284929,0.658723,38.465035,38.476679,0.011644,0.002815
2,4,8,39.163418,0.480514,38.476670,38.487898,0.011227,0.002790
3,0,8,38.166679,0.891773,39.776009,39.786007,0.009999,0.003010
3,1,8,38.986667,1.540417,39.786004,39.795739,0.009734,0.002782
3,2,8,39.248242,0.530186,39.795748,39.804729,0.008980,0.002750
3,3,8,38.798402,0.856546,39.804710,39.814956,0.010247,0.002711
3,4,8,38.964400,0.701423,39.814974,39.824481,0.009506,0.002858
4,0,8,38.925577,0.670495,40.455065,40.463577,0.008511,0.003101
4,1,8,38.645702,0.986597,40.463585,40.472875,0.009290,0.002904
4,2,8,40.262135,0.747427,40.472893,40.482329,0.009435,0.002962
4,3,8,38.537227,0.472113,40.482299,40.491045,0.008746,0.002871
4,4,8,39.625535,0.648600,40.491070,40.500157,0.009087,0.002835
