step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,last_sleep_round,last_sleep_delta_fe,last_sleep_replayed
0,1,7,2.250673,40.594692,0.883732,1.000000,7.631531,0.999010,1.000000,-1,0.000000,0
1,0,3,2.364422,54.941448,0.902057,1.000000,7.631531,0.997030,1.000000,-1,0.000000,0
2,0,5,2.035481,43.914397,0.903023,1.000000,7.631531,0.995050,1.000000,-1,0.000000,0
3,1,7,2.652236,43.772331,0.902447,1.000000,7.631531,0.993070,2.078946,-1,0.000000,0
4,1,0,2.455021,40.964428,0.903208,1.000000,7.631531,0.991090,0.819802,-1,0.000000,0
5,1,7,2.594126,39.137471,0.902471,1.000000,7.631531,0.989110,2.142268,-1,0.000000,0
6,1,7,2.336085,37.687436,0.902853,1.000000,7.631531,0.987130,2.277263,-1,0.000000,0
7,1,7,2.318429,38.031284,0.902040,1.000000,7.631531,0.985150,2.351891,-1,0.000000,0
8,1,7,2.337508,37.608543,0.902904,1.000000,7.631531,0.983170,2.207664,-1,0.000000,0
9,0,5,2.656202,38.057658,0.902815,1.000000,7.631531,0.981190,2.551742,-1,0.000000,0
10,1,7,2.752849,37.158777,0.902128,1.000000,7.631531,0.979210,2.120792,-1,0.000000,0
11,0,4,1.939820,36.988583,0.902756,1.000000,7.631531,0.977230,9.520873,-1,0.000000,0
12,0,4,2.764802,36.078711,0.902432,1.000000,7.631531,0.975250,7.708895,-1,0.000000,0
13,0,4,2.438372,35.986005,0.902440,1.000000,7.631531,0.973270,7.263678,-1,0.000000,0
14,0,3,2.972096,36.498593,0.902420,1.000000,7.631531,0.971290,8.771682,-1,0.000000,0
15,0,4,2.764270,36.437387,0.902929,1.000000,7.631531,0.969310,6.740943,-1,0.000000,0
16,0,4,2.910688,36.159977,0.902058,1.000000,7.631531,0.967330,5.957016,-1,0.000000,0
17,0,4,2.709951,36.083984,0.902762,1.000000,7.631531,0.965350,5.672090,-1,0.000000,0
18,0,5,2.630860,36.194273,0.902459,1.000000,7.631531,0.963370,2.239075,-1,0.000000,0
19,0,3,2.263560,36.310784,0.902220,1.000000,7.631531,0.961390,7.443821,-1,0.000000,0
20,1,6,2.341561,35.789513,0.902751,1.000000,7.631531,0.959410,2.953902,-1,0.000000,0
21,0,3,3.090103,35.442058,0.902599,1.000000,7.631531,0.957430,6.876292,-1,0.000000,0
22,0,3,2.621531,35.166956,0.902508,1.000000,7.631531,0.955450,6.514519,-1,0.000000,0
23,3,6,2.376015,35.333494,0.902441,1.000000,7.631531,0.953470,2.467596,-1,0.000000,0
24,0,2,2.630568,35.419043,0.902000,1.000000,7.631531,0.951490,2.246019,-1,0.000000,0
25,0,2,2.666902,35.471761,0.902990,1.000000,7.631531,0.949510,2.117606,-1,0.000000,0
26,3,6,2.578290,35.404212,0.902383,1.000000,7.631531,0.947530,2.295373,-1,0.000000,0
27,3,2,2.255600,35.390901,0.902090,1.000000,7.631531,0.945550,2.135667,-1,0.000000,0
28,0,5,2.615887,35.344517,0.902892,1.000000,7.631531,0.943570,2.382767,-1,0.000000,0
29,0,5,2.626914,35.507711,0.902400,1.000000,7.631531,0.941590,1.386200,-1,0.000000,0
30,1,6,2.633055,35.379380,0.902376,1.000000,7.631531,0.939610,2.013950,-1,0.000000,0
31,3,2,2.372427,35.322644,0.902447,1.000000,7.631531,0.937630,1.960197,-1,0.000000,0
32,0,2,2.083413,35.509207,0.902135,1.000000,7.631531,0.935650,1.948393,-1,0.000000,0
33,3,2,2.590009,35.446926,0.902076,1.000000,7.631531,0.933670,0.729689,-1,0.000000,0
34,2,5,3.149240,35.443839,0.902830,1.000000,7.631531,0.931690,1.240738,-1,0.000000,0
35,1,0,2.367747,35.522703,0.902743,1.000000,7.631531,0.929710,2.609661,-1,0.000000,0
36,1,0,2.386623,35.402900,0.903194,1.000000,7.631531,0.927730,2.659044,-1,0.000000,0
37,0,5,2.575212,35.563153,0.903167,1.000000,7.631531,0.925750,0.772684,-1,0.000000,0
38,1,6,2.275148,35.543707,0.902090,1.000000,7.631531,0.923770,0.521767,-1,0.000000,0
39,0,5,2.361830,35.375397,0.903145,1.000000,7.631531,0.921790,0.704451,-1,0.000000,0
40,1,1,2.205382,35.491794,0.902949,1.000000,7.631531,0.919810,4.609774,-1,0.000000,0
41,1,1,2.639863,35.251003,0.902490,1.000000,7.631531,0.917830,4.467675,-1,0.000000,0
42,1,0,2.368086,35.139411,0.902070,1.000000,7.631531,0.915850,2.544680,-1,0.000000,0
43,1,0,2.456739,35.230583,0.902588,1.000000,7.631531,0.913870,2.444375,-1,0.000000,0
44,1,1,2.329442,35.541604,0.902121,1.000000,7.631531,0.911890,4.072604,-1,0.000000,0
45,0,3,1.936024,35.646734,0.902793,1.000000,7.631531,0.909910,0.808653,-1,0.000000,0
46,1,1,2.575703,35.425735,0.902476,1.000000,7.631531,0.907930,3.884371,-1,0.000000,0
47,3,1,2.831449,35.302989,0.902517,1.000000,7.631531,0.905950,3.695528,-1,0.000000,0
48,1,1,2.721135,35.351192,0.902147,1.000000,7.631531,0.903970,2.705231,-1,0.000000,0
