step,n_replayed,mean_err_before,mean_err_after,delta_err,duration_ms
100,32,0.010514,0.010490,-0.000024,2.49
200,32,0.010185,0.010168,-0.000017,2.40
300,32,0.011933,0.011918,-0.000015,2.46
400,32,0.011938,0.011924,-0.000015,2.34
500,32,0.014082,0.014066,-0.000016,2.40
600,32,0.014762,0.014744,-0.000018,2.41
700,32,0.019506,0.019484,-0.000022,2.43
800,32,0.022259,0.022235,-0.000024,2.44
900,32,0.025568,0.025541,-0.000026,2.43
1000,32,0.032031,0.031995,-0.000036,2.46
1100,32,0.034877,0.034843,-0.000034,2.41
1200,32,0.038091,0.038050,-0.000040,2.38
1300,32,0.043144,0.043059,-0.000086,2.48
1400,32,0.047044,0.046917,-0.000128,2.57
1500,32,0.054327,0.054175,-0.000153,2.53
1600,32,0.049712,0.049577,-0.000135,2.49
1700,32,0.052871,0.052720,-0.000151,2.47
1800,32,0.048456,0.048320,-0.000136,2.82
1900,32,0.060685,0.060489,-0.000196,2.54
2000,32,0.064265,0.064040,-0.000226,2.56
2100,32,0.059787,0.059578,-0.000209,2.65
2200,32,0.056631,0.056423,-0.000207,2.57
2300,32,0.064599,0.064348,-0.000251,2.60
2400,32,0.068877,0.068573,-0.000305,36.28
2500,32,0.067082,0.066800,-0.000283,2.55
2600,32,0.059252,0.059010,-0.000242,2.66
2700,32,0.061994,0.061744,-0.000250,2.60
2800,32,0.069899,0.069617,-0.000282,2.68
2900,32,0.089373,0.088922,-0.000451,2.68
3000,32,0.054522,0.054316,-0.000206,2.52
