step,modality,h_phys_norm,h_text_norm,h_fused_norm,pred_error,W_pt_norm,W_tp_norm,belief_norm,free_energy
0,physics,0.698231,0.277579,0.305348,0.007443,8.029738,8.044676,0.079966,0.001359
1,text,0.817608,0.277579,0.402981,0.012103,8.026001,8.041058,0.086553,0.002133
2,physics,0.771868,0.277935,0.395051,0.012298,8.023235,8.038684,0.080917,0.002338
3,text,0.908314,0.246406,0.509372,0.013146,8.020005,8.034718,0.091574,0.003418
4,text,0.755217,0.252998,0.423225,0.009825,8.016269,8.031000,0.100854,0.002236
5,physics,0.856881,0.263089,0.433617,0.013144,8.012532,8.031085,0.096506,0.002716
6,physics,0.860837,0.277935,0.456730,0.011471,8.008700,8.029777,0.092280,0.003084
7,text,0.740967,0.252998,0.416130,0.009250,8.004131,8.028284,0.095244,0.002371
8,text,0.841302,0.277579,0.455762,0.011876,8.002018,8.027702,0.098276,0.002852
9,physics,0.729992,0.252998,0.370084,0.010996,7.997462,8.027416,0.098948,0.001879
10,text,0.740967,0.252998,0.411805,0.009248,7.993536,8.026998,0.107260,0.002141
11,physics,0.929629,0.263089,0.480663,0.016085,7.992214,8.028008,0.115879,0.002940
12,text,0.806274,0.288705,0.401954,0.011016,7.987272,8.027396,0.114262,0.002210
13,text,0.740947,0.259508,0.449496,0.011001,7.982804,8.025694,0.114451,0.002766
14,text,0.839388,0.263089,0.467381,0.011497,7.980554,8.026803,0.117547,0.002912
15,text,0.824438,0.252998,0.458708,0.011027,7.977391,8.026452,0.120867,0.002773
16,physics,0.852582,0.259508,0.464834,0.014346,7.972913,8.026847,0.125580,0.002793
17,physics,0.747022,0.277579,0.387588,0.011594,7.969879,8.027466,0.129578,0.001822
18,physics,0.767060,0.288705,0.397917,0.008700,7.965727,8.027122,0.129114,0.002020
19,text,0.839418,0.277935,0.448185,0.011865,7.961999,8.028840,0.126194,0.002761
20,text,0.845905,0.246406,0.461801,0.012362,7.955642,8.029579,0.124537,0.002903
21,physics,0.836351,0.246406,0.413361,0.010167,7.952156,8.030327,0.118318,0.002490
22,physics,0.707375,0.263089,0.379273,0.008960,7.946876,8.031925,0.120340,0.001893
23,physics,0.724780,0.277579,0.406669,0.005974,7.943105,8.032955,0.124590,0.002105
24,physics,0.890974,0.277579,0.474304,0.011298,7.942261,8.033610,0.126800,0.003005
25,physics,0.715066,0.277935,0.397499,0.007913,7.939351,8.038316,0.129541,0.001979
26,physics,0.817876,0.252998,0.462955,0.011555,7.936005,8.041999,0.132222,0.002793
27,text,0.871866,0.277935,0.475071,0.012495,7.932646,8.045427,0.131315,0.003056
28,physics,0.899645,0.277579,0.486811,0.013427,7.930903,8.047835,0.135383,0.003056
29,text,0.799569,0.277579,0.434031,0.009881,7.928188,8.050933,0.132660,0.002641
30,physics,0.647588,0.263089,0.335965,0.009233,7.925170,8.055471,0.130647,0.001515
31,physics,0.860864,0.263089,0.415332,0.016571,7.920908,8.059183,0.125106,0.002504
32,physics,0.696032,0.252998,0.355568,0.008898,7.918287,8.063846,0.127785,0.001557
33,physics,0.767299,0.277935,0.414733,0.010848,7.913869,8.070368,0.133676,0.002088
34,text,0.860864,0.263089,0.406996,0.012963,7.910611,8.075248,0.134621,0.002146
35,text,0.959734,0.277935,0.500748,0.015126,7.907712,8.080903,0.136241,0.003351
36,text,0.790804,0.288705,0.403528,0.011360,7.905325,8.086551,0.137443,0.002125
37,physics,0.822963,0.252998,0.407971,0.016393,7.901804,8.092867,0.136122,0.002216
38,physics,0.796663,0.277579,0.394501,0.010886,7.900003,8.101276,0.132534,0.002175
39,physics,0.795278,0.263534,0.432300,0.010780,7.896641,8.106330,0.129560,0.002694
40,physics,0.757776,0.252998,0.431563,0.009151,7.893932,8.111156,0.141100,0.002094
41,text,0.826924,0.277935,0.437743,0.012664,7.892198,8.120171,0.135271,0.002835
42,text,0.895529,0.288705,0.469307,0.012951,7.888505,8.125933,0.136296,0.002978
43,text,0.817478,0.277579,0.430723,0.011783,7.884845,8.132810,0.130832,0.002734
44,physics,0.763705,0.288705,0.441918,0.010337,7.882179,8.137473,0.133121,0.002608
45,physics,0.857674,0.263089,0.433421,0.010393,7.879158,8.140963,0.133244,0.002529
46,physics,0.847493,0.263089,0.444418,0.012302,7.878084,8.147397,0.137616,0.002526
47,physics,0.863558,0.263089,0.437390,0.011356,7.873758,8.154957,0.136955,0.002609
48,physics,0.874652,0.277579,0.480583,0.011217,7.870383,8.162772,0.141018,0.003005
49,physics,0.816340,0.277579,0.425128,0.010552,7.867914,8.171560,0.144974,0.002278
50,physics,0.861568,0.288705,0.472073,0.010969,7.867491,8.180458,0.152852,0.002717
51,text,0.745281,0.263534,0.404235,0.010906,7.864873,8.187343,0.146000,0.002421
52,text,0.901345,0.252998,0.454864,0.012555,7.861575,8.194223,0.145254,0.002821
53,text,0.764751,0.263089,0.376356,0.009987,7.859281,8.204254,0.144678,0.001877
54,text,0.892634,0.252998,0.436617,0.014302,7.855136,8.213796,0.147448,0.002445
55,physics,0.871996,0.263089,0.430420,0.010613,7.850060,8.222959,0.145811,0.002512
56,physics,0.876084,0.277579,0.493164,0.008820,7.848636,8.231507,0.149952,0.003190
57,text,0.678226,0.277579,0.356615,0.008698,7.846938,8.242592,0.144740,0.001842
58,physics,0.687409,0.263089,0.351875,0.007610,7.842179,8.255395,0.143153,0.001652
59,text,0.787904,0.277935,0.427205,0.010592,7.837453,8.267445,0.146972,0.002334
60,text,0.866922,0.263089,0.441017,0.013556,7.834796,8.279848,0.149049,0.002524
61,physics,0.758697,0.277935,0.413442,0.008843,7.835110,8.293125,0.156704,0.001902
62,physics,0.775721,0.252998,0.400380,0.014287,7.831145,8.300916,0.158848,0.001930
63,text,0.721937,0.277579,0.403761,0.009814,7.827412,8.313399,0.156908,0.002188
64,physics,0.864343,0.250363,0.485241,0.013388,7.822631,8.321810,0.154857,0.003231
65,physics,0.752197,0.252998,0.387535,0.007744,7.821421,8.331631,0.148060,0.002220
66,text,0.857271,0.277935,0.451147,0.011762,7.819442,8.342574,0.150010,0.002690
67,text,0.824856,0.263089,0.421009,0.010314,7.818453,8.352892,0.155010,0.002172
68,text,0.852570,0.277935,0.436456,0.013167,7.817117,8.369351,0.156217,0.002413
69,text,1.009102,0.263089,0.469609,0.015170,7.814104,8.379748,0.160845,0.002734
70,physics,0.771352,0.252998,0.357085,0.011665,7.811442,8.390113,0.158680,0.001665
71,physics,0.843417,0.263089,0.438431,0.010855,7.809452,8.401800,0.159762,0.002470
72,text,0.895529,0.288705,0.459256,0.012925,7.806930,8.412884,0.159995,0.002811
73,physics,0.834866,0.246406,0.421744,0.011709,7.802911,8.422564,0.151219,0.002685
74,physics,0.841992,0.252998,0.441242,0.010969,7.801804,8.438435,0.152594,0.002510
75,text,0.671538,0.263089,0.338170,0.007843,7.798415,8.450818,0.152979,0.001428
76,text,0.799642,0.263089,0.465799,0.010068,7.796046,8.460778,0.157563,0.002628
77,text,0.827835,0.263089,0.415808,0.010227,7.793262,8.467965,0.152198,0.002494
78,physics,0.811682,0.277935,0.375627,0.011778,7.792585,8.481880,0.144862,0.002141
79,text,0.865926,0.252998,0.478281,0.013957,7.789626,8.501211,0.150415,0.002899
80,text,0.747268,0.277935,0.385390,0.008672,7.786412,8.514047,0.153353,0.001800
81,physics,0.790356,0.277579,0.402378,0.010986,7.783066,8.524254,0.156734,0.001952
82,physics,0.771680,0.246406,0.373377,0.011652,7.779856,8.531239,0.155734,0.001829
83,physics,0.818489,0.246406,0.420762,0.012947,7.778033,8.540748,0.159107,0.002175
84,physics,0.882100,0.263089,0.466175,0.012672,7.776869,8.556941,0.158258,0.002957
85,physics,0.894566,0.288705,0.477875,0.011008,7.772898,8.570166,0.163992,0.002787
86,physics,0.829946,0.263089,0.397982,0.015297,7.771829,8.585819,0.156770,0.002356
87,text,0.798710,0.263089,0.371947,0.010437,7.768250,8.601116,0.153783,0.001864
88,physics,0.717236,0.277579,0.365101,0.006267,7.765212,8.614280,0.153203,0.001726
89,text,0.705163,0.277579,0.352864,0.008945,7.764888,8.630651,0.150508,0.001680
90,text,0.788522,0.277579,0.416734,0.010686,7.760973,8.644795,0.150453,0.002338
91,physics,0.678226,0.277579,0.345898,0.008891,7.760703,8.662480,0.151798,0.001500
92,physics,0.759335,0.263534,0.369396,0.011166,7.758520,8.672041,0.147116,0.001995
93,physics,0.776026,0.252998,0.410349,0.011774,7.757698,8.686285,0.144783,0.002402
94,text,0.762986,0.288705,0.385342,0.009199,7.753364,8.698564,0.148027,0.001852
95,text,0.808748,0.277935,0.388979,0.011263,7.753412,8.716760,0.151089,0.001889
96,physics,0.708869,0.252998,0.355373,0.006964,7.748592,8.734140,0.148314,0.001751
97,physics,0.824792,0.277579,0.469681,0.008295,7.746121,8.749180,0.150667,0.002866
98,physics,0.739023,0.263089,0.372824,0.010915,7.743001,8.773230,0.149318,0.001869
99,physics,0.727037,0.277579,0.379242,0.006280,7.740402,8.791583,0.148009,0.001928
100,text,0.891154,0.263089,0.483672,0.013054,7.686709,9.390641,0.151702,0.003048
101,physics,0.726462,0.259508,0.354146,0.007011,7.684119,9.403458,0.153317,0.001483
102,physics,0.767144,0.277579,0.366454,0.010106,7.681446,9.424495,0.152386,0.001732
103,text,0.776670,0.277579,0.367607,0.011280,7.676821,9.446654,0.148758,0.001910
104,text,0.765854,0.277935,0.377483,0.008821,7.675430,9.463267,0.149507,0.001838
105,text,0.745281,0.263534,0.408036,0.010695,7.674665,9.484840,0.146164,0.002393
106,physics,0.875949,0.277579,0.439202,0.011614,7.674369,9.509979,0.149473,0.002424
107,text,0.842719,0.252998,0.454820,0.012898,7.672475,9.537190,0.151028,0.002743
108,physics,0.877427,0.259508,0.516896,0.008477,7.669206,9.559402,0.159952,0.003230
109,text,0.792108,0.252998,0.395351,0.010177,7.669114,9.579583,0.160371,0.001929
110,text,0.799642,0.263089,0.457287,0.010142,7.668586,9.596600,0.163745,0.002525
111,text,0.821536,0.277579,0.420559,0.010476,7.668666,9.614384,0.163573,0.002232
112,text,0.693825,0.252998,0.389058,0.008245,7.666783,9.636646,0.162702,0.001954
113,physics,0.826121,0.263534,0.418546,0.009676,7.663821,9.657309,0.162561,0.002238
114,physics,0.782021,0.252998,0.436497,0.008957,7.662093,9.683125,0.165725,0.002356
115,text,0.777493,0.252998,0.394871,0.009632,7.662040,9.703326,0.166687,0.001981
116,physics,0.849057,0.277579,0.439672,0.012460,7.659514,9.726875,0.168716,0.002436
117,physics,0.690735,0.277935,0.396899,0.009065,7.658921,9.759132,0.165286,0.002178
118,text,0.796504,0.277579,0.423767,0.011849,7.655616,9.782627,0.166186,0.002323
119,text,0.719219,0.252998,0.417288,0.008474,7.655851,9.806756,0.170822,0.002069
120,text,0.816863,0.277579,0.415676,0.010751,7.656379,9.828067,0.173745,0.002087
121,text,0.860010,0.252998,0.455865,0.012908,7.657642,9.853074,0.173620,0.002647
122,text,0.763369,0.288705,0.354268,0.010895,7.654260,9.877310,0.167834,0.001781
123,text,0.758092,0.277935,0.399580,0.008915,7.651802,9.896467,0.171007,0.001874
124,physics,0.707095,0.252998,0.361276,0.006585,7.649487,9.923420,0.170612,0.001596
125,text,0.738585,0.252998,0.432013,0.009197,7.647573,9.950378,0.177831,0.001961
126,text,0.901346,0.263089,0.405359,0.012456,7.647445,9.971302,0.177576,0.002009
127,physics,0.913261,0.250363,0.518650,0.014743,7.644092,9.987454,0.173534,0.003748
128,text,0.894743,0.277579,0.497869,0.015004,7.641882,10.015909,0.181804,0.002861
129,physics,0.889189,0.263089,0.498886,0.011594,7.638146,10.041648,0.184853,0.003069
130,text,0.744141,0.259508,0.417627,0.010882,7.639432,10.069119,0.179305,0.002418
131,text,0.839823,0.263089,0.417639,0.011302,7.639413,10.091942,0.177687,0.002222
132,physics,0.762615,0.277579,0.416625,0.009729,7.636415,10.108784,0.178888,0.002174
133,text,0.812656,0.252998,0.353207,0.011354,7.632404,10.134343,0.175624,0.001667
134,text,0.786558,0.288705,0.438453,0.011079,7.631068,10.159455,0.175829,0.002416
135,physics,0.827871,0.263089,0.427674,0.008606,7.630466,10.180346,0.181942,0.001995
136,physics,0.794898,0.252998,0.447543,0.007224,7.628126,10.208451,0.185092,0.002365
137,physics,0.836395,0.277579,0.438465,0.014560,7.629410,10.228527,0.182820,0.002518
138,physics,0.811929,0.288705,0.431886,0.007330,7.628023,10.243759,0.181317,0.002426
139,text,0.852582,0.259508,0.486593,0.012291,7.626856,10.266778,0.179545,0.003179
