step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain
0,1,7,2.250673,40.594692,0.883732,1.000000,7.631531,0.999802,1.000000
1,0,3,2.364422,54.941448,0.902057,1.000000,7.631531,0.999406,1.000000
2,0,5,2.035481,43.914397,0.903023,1.000000,7.631531,0.999010,1.000000
3,1,7,2.652236,43.772331,0.902447,1.000000,7.631531,0.998614,2.078946
4,1,0,2.455021,40.964428,0.903208,1.000000,7.631531,0.998218,0.819802
5,1,7,2.594126,39.137471,0.902471,1.000000,7.631531,0.997822,2.142268
6,1,7,2.336085,37.687436,0.902853,1.000000,7.631531,0.997426,2.277263
7,1,7,2.318429,38.031284,0.902040,1.000000,7.631531,0.997030,2.351891
8,1,7,2.337508,37.608543,0.902904,1.000000,7.631531,0.996634,2.207664
9,0,5,2.656202,38.057658,0.902815,1.000000,7.631531,0.996238,2.551742
10,1,7,2.752849,37.158777,0.902128,1.000000,7.631531,0.995842,2.120792
11,0,4,1.939820,36.988583,0.902756,1.000000,7.631531,0.995446,9.520873
12,0,4,2.764802,36.078711,0.902432,1.000000,7.631531,0.995050,7.708895
13,0,4,2.438372,35.986005,0.902440,1.000000,7.631531,0.994654,7.263678
14,0,3,2.972096,36.498593,0.902420,1.000000,7.631531,0.994258,8.771682
15,0,4,2.764270,36.437387,0.902929,1.000000,7.631531,0.993862,6.740943
16,0,4,2.910688,36.159977,0.902058,1.000000,7.631531,0.993466,5.957016
17,0,4,2.709951,36.083984,0.902762,1.000000,7.631531,0.993070,5.672090
18,0,4,3.641615,36.194273,0.902459,1.000000,7.631531,0.992674,5.385723
19,0,3,2.263560,36.310784,0.902220,1.000000,7.631531,0.992278,7.443821
20,1,6,2.341561,36.173432,0.902751,1.000000,7.631531,0.991882,2.761942
21,0,3,3.090103,35.839734,0.902599,1.000000,7.631531,0.991486,6.855170
22,0,3,2.621531,35.523090,0.902508,1.000000,7.631531,0.991090,6.474586
23,3,6,2.376015,35.668482,0.902441,1.000000,7.631531,0.990694,2.315525
24,0,2,2.630568,35.743948,0.902000,1.000000,7.631531,0.990298,2.156263
25,0,2,2.666902,35.770282,0.902990,1.000000,7.631531,0.989902,2.026205
26,3,6,2.578290,35.673681,0.902383,1.000000,7.631531,0.989506,2.166040
27,3,2,2.255600,35.626580,0.902090,1.000000,7.631531,0.989110,2.054863
28,0,5,2.615887,35.585496,0.902892,1.000000,7.631531,0.988714,2.397806
29,0,5,2.626914,35.740378,0.902400,1.000000,7.631531,0.988318,2.321334
30,1,6,2.633055,35.606328,0.902376,1.000000,7.631531,0.987922,1.915005
31,3,2,2.372427,35.526389,0.902447,1.000000,7.631531,0.987526,1.893831
32,0,2,2.083413,35.701243,0.902135,1.000000,7.631531,0.987130,1.890917
33,3,2,2.590009,35.641834,0.902076,1.000000,7.631531,0.986734,0.757842
34,2,5,3.149240,35.644940,0.902830,1.000000,7.631531,0.986338,1.389282
35,1,0,2.367747,35.718832,0.902743,1.000000,7.631531,0.985942,2.520410
36,1,0,2.386623,35.598876,0.903194,1.000000,7.631531,0.985546,2.563564
37,0,5,2.575212,35.776090,0.903167,1.000000,7.631531,0.985150,1.149066
38,1,6,2.275148,35.762549,0.902090,1.000000,7.631531,0.984754,0.564178
39,0,5,2.361830,35.596424,0.903145,1.000000,7.631531,0.984358,0.698459
40,1,1,2.205382,35.703950,0.902949,1.000000,7.631531,0.983962,4.509861
41,1,1,2.639863,35.454657,0.902490,1.000000,7.631531,0.983566,4.365470
42,1,0,2.368086,35.367414,0.902070,1.000000,7.631531,0.983170,2.448022
43,1,0,2.456739,35.444538,0.902588,1.000000,7.631531,0.982774,2.351119
44,1,1,2.329442,35.798987,0.902121,1.000000,7.631531,0.982378,3.976847
45,0,3,1.936024,35.880682,0.902793,1.000000,7.631531,0.981982,0.848846
46,1,1,2.575703,35.666800,0.902476,1.000000,7.631531,0.981586,3.791569
47,3,1,2.831449,35.533404,0.902517,1.000000,7.631531,0.981190,3.606484
48,1,1,2.721135,35.605105,0.902147,1.000000,7.631531,0.980794,2.638778
49,1,0,2.644925,35.654007,0.902437,1.000000,7.631531,0.980398,1.725066
50,1,1,2.948871,35.549795,0.902996,1.000000,7.631531,0.980002,0.605125
51,0,4,2.488330,35.693584,0.902756,1.000000,7.631531,0.979606,1.401084
52,2,6,2.407096,35.844769,0.902779,1.000000,7.631531,0.979210,0.576018
53,1,6,2.507776,35.983011,0.902685,1.000000,7.631531,0.978814,0.341491
54,0,4,2.677347,36.090297,0.902047,1.000000,7.631531,0.978418,1.381015
