step,session_id,nav_action,nav_action_name,article_title,pos_in_article,action_vec_norm,free_energy,prediction_error,confidence,obs_norm,beta,info_gain,text_preview,in_consolidation,delta_fe_consolidation
0,0,0,forward,Mathematics_8,256,1.287035,10.518464,0.167499,0.897082,0.163233,0.999960,1.000000, Mathematics_8 is an article a,0,0.000000
1,0,4,follow_link,Geography_20,256,1.760105,30.053961,0.170241,0.917459,0.161112,0.999921,1.000000, Geography_20 is an article ab,0,0.000000
2,0,4,follow_link,Geography_16,256,1.467318,25.527069,0.176666,0.917248,0.164283,0.999881,1.000000, Geography_16 is an article ab,0,0.000000
3,0,1,backward,Geography_16,256,1.571091,23.633826,0.179668,0.917561,0.164283,0.999842,3.182882, Geography_16 is an article ab,0,0.000000
4,0,1,backward,Geography_16,256,1.937147,24.859091,0.182916,0.917902,0.164283,0.999802,3.017397, Geography_16 is an article ab,0,0.000000
5,0,0,forward,Geography_16,512,1.617056,22.617294,0.210681,0.916859,0.190999,0.999762,2.813271,"oncepts such as war, revolutio",0,0.000000
6,0,5,random_article,Computer Science_2,256,1.429186,19.919965,0.189905,0.917135,0.164981,0.999723,3.488290, Computer Science_2 is an arti,0,0.000000
7,0,2,fast_forward,Computer Science_15,256,2.074243,18.690741,0.190359,0.917717,0.160639,0.999683,3.295805, Computer Science_15 is an art,0,0.000000
8,0,4,follow_link,Geography_22,256,1.799295,17.860951,0.189761,0.917828,0.154592,0.999644,3.672345, Geography_22 is an article ab,0,0.000000
9,0,4,follow_link,Computer Science_22,256,1.880975,17.802044,0.202777,0.917670,0.165549,0.999604,3.945233, Computer Science_22 is an art,0,0.000000
10,0,5,random_article,Biology_18,256,1.547322,17.588490,0.185413,0.917247,0.151203,0.999564,4.036099, Biology_18 is an article abou,0,0.000000
11,0,1,backward,Biology_18,256,1.909532,17.693551,0.187834,0.917402,0.151203,0.999525,2.732836, Biology_18 is an article abou,0,0.000000
12,0,2,fast_forward,Biology_18,256,1.925697,16.570471,0.190184,0.917406,0.151203,0.999485,2.671200, Biology_18 is an article abou,0,0.000000
13,0,4,follow_link,Mathematics_1,256,2.175443,16.171324,0.207709,0.917732,0.165634,0.999446,3.196662, Mathematics_1 is an article a,0,0.000000
14,0,0,forward,Mathematics_1,512,1.563386,15.686773,0.233338,0.916822,0.191047,0.999406,3.211129,12]]. It discusses concepts su,0,0.000000
15,0,3,jump_within,Mathematics_1,513,1.418631,15.808699,0.236344,0.916834,0.190412,0.999366,4.577979,2]]. It discusses concepts suc,0,0.000000
16,0,2,fast_forward,Biology_10,256,1.971025,15.754982,0.199904,0.917450,0.150677,0.999327,4.100059, Biology_10 is an article abou,0,0.000000
17,0,1,backward,Biology_10,256,1.960741,15.644548,0.201953,0.917374,0.150677,0.999287,3.750248, Biology_10 is an article abou,0,0.000000
