step,modality,source,obs_norm,confidence,free_energy,prediction_error,cycle_count
0,physics,physics:step_1,0.049566,0.898512,0.000060,0.072513,1
1,text,wiki:Biology_1,0.237129,0.918101,0.000712,0.244557,2
2,image,/tmp/omni_img_ahr7_nej/circle_00.png,0.061756,0.918289,0.000072,0.083150,3
3,physics,physics:step_2,0.055280,0.918167,0.000069,0.071387,4
4,text,wiki:Biology_1,0.272184,0.918000,0.000911,0.284572,5
5,code,/tmp/omni_code_5rm7dhr_/class_stack_00.py,7.815459,0.852056,0.842680,7.671960,6
6,physics,physics:step_3,0.064256,0.913571,0.004579,0.538530,7
7,physics,physics:step_4,0.066996,0.918305,0.003453,0.477914,8
8,text,wiki:Biology_1,0.257909,0.918087,0.003894,0.525329,9
9,text,wiki:History_0,0.242720,0.893880,0.003001,0.479479,10
10,text,wiki:History_0,0.271342,0.918057,0.002529,0.461892,11
11,audio,/tmp/omni_aud_9vbpth3p/chirp_00_220hz.wav,0.157298,0.918268,0.001561,0.355877,12
12,physics,physics:step_5,0.062984,0.918194,0.001005,0.299846,13
13,image,/tmp/omni_img_ahr7_nej/circle_01.png,0.062542,0.918282,0.000741,0.287421,14
14,text,wiki:History_0,0.266223,0.918170,0.001503,0.398376,15
15,text,wiki:Biology_3,0.235779,0.917961,0.001066,0.352847,16
16,text,wiki:Biology_3,0.267918,0.918127,0.001115,0.372986,17
17,text,wiki:Mathematics_3,0.244391,0.917984,0.000962,0.337510,18
18,image,/tmp/omni_img_ahr7_nej/circle_02.png,0.061960,0.918229,0.000360,0.221138,19
19,physics,physics:step_6,0.070787,0.918134,0.000390,0.206173,20
20,physics,physics:step_7,0.069618,0.918101,0.000332,0.202522,21
21,text,wiki:Mathematics_3,0.266256,0.918178,0.000864,0.337697,22
22,code,/tmp/omni_code_5rm7dhr_/class_stack_01.py,7.815455,0.852062,0.822002,7.669038,23
23,image,/tmp/omni_img_ahr7_nej/cross_00.png,0.069560,0.918177,0.005741,0.656523,24
24,physics,physics:step_8,0.071481,0.918184,0.004508,0.600827,25
25,text,wiki:Mathematics_3,0.244391,0.911116,0.004717,0.617516,26
26,text,wiki:Mathematics_3,0.266256,0.918118,0.003684,0.586175,27
27,text,wiki:Computer Science_2,0.238689,0.917971,0.002887,0.543768,28
28,text,wiki:Computer Science_2,0.273169,0.913967,0.002510,0.522423,29
29,physics,physics:step_9,0.060133,0.918180,0.001480,0.404455,30
30,physics,physics:step_10,0.054420,0.918219,0.001182,0.377573,31
31,code,/tmp/omni_code_5rm7dhr_/fib_00.py,4.320841,0.891484,0.239211,4.196240,32
32,text,wiki:Computer Science_2,0.260393,0.918044,0.004922,0.646995,33
33,text,wiki:Biology_1,0.237129,0.918041,0.003647,0.573297,34
34,text,wiki:Biology_1,0.272184,0.918051,0.003096,0.554523,35
35,text,wiki:Biology_1,0.257909,0.918115,0.002518,0.529831,36
36,text,wiki:Biology_3,0.235779,0.918070,0.001914,0.480519,37
37,text,wiki:Biology_3,0.267918,0.918092,0.001788,0.487186,38
38,text,wiki:Geography_4,0.222755,0.913770,0.001401,0.436134,39
39,physics,physics:step_11,0.057127,0.915626,0.000945,0.353103,40
40,text,wiki:Geography_4,0.271357,0.911427,0.001283,0.438535,41
41,image,/tmp/omni_img_ahr7_nej/cross_01.png,0.068981,0.918452,0.000707,0.313597,42
42,physics,physics:step_12,0.059743,0.918234,0.000621,0.299611,43
43,text,wiki:Geography_4,0.343732,0.914177,0.001921,0.510292,44
44,image,/tmp/omni_img_ahr7_nej/cross_02.png,0.070345,0.918332,0.000481,0.274637,45
45,image,/tmp/omni_img_ahr7_nej/noise_00.png,0.051378,0.918453,0.000397,0.275950,46
46,text,wiki:Biology_1,0.237129,0.917939,0.000799,0.350157,47
47,text,wiki:Biology_1,0.272184,0.918150,0.000850,0.382817,48
48,physics,physics:step_13,0.058521,0.918262,0.000361,0.245244,49
49,text,wiki:Biology_1,0.257909,0.918097,0.000733,0.368151,50
50,text,wiki:Geography_0,0.234919,0.918267,0.000619,0.323843,51
51,text,wiki:Geography_0,0.265763,0.918059,0.000623,0.361112,52
52,physics,physics:step_14,0.055213,0.918233,0.000381,0.233495,53
53,physics,physics:step_15,0.050286,0.918108,0.000322,0.217777,54
54,physics,physics:step_16,0.062374,0.918116,0.000259,0.207201,55
55,physics,physics:step_17,0.071352,0.918253,0.000308,0.197864,56
56,text,wiki:Geography_0,0.443470,0.918075,0.002468,0.527522,57
57,text,wiki:Biology_4,0.230980,0.918105,0.000501,0.298118,58
58,text,wiki:Biology_4,0.271342,0.918126,0.000593,0.347220,59
59,text,wiki:Biology_4,0.266223,0.918233,0.000528,0.348455,60
60,physics,physics:step_18,0.065802,0.918355,0.000346,0.186048,61
61,text,wiki:Mathematics_4,0.251755,0.917757,0.000537,0.310131,62
62,text,wiki:Mathematics_4,0.266707,0.918042,0.000483,0.339988,63
63,physics,physics:step_19,0.067142,0.918306,0.000347,0.184496,64
64,physics,physics:step_20,0.061327,0.918284,0.000264,0.178620,65
65,text,wiki:History_0,0.242720,0.918086,0.000454,0.293021,66
66,text,wiki:History_0,0.271342,0.918051,0.000516,0.334978,67
67,text,wiki:History_0,0.266223,0.918189,0.000458,0.334003,68
68,text,wiki:Mathematics_4,0.251755,0.917997,0.000435,0.306053,69
69,text,wiki:Mathematics_4,0.266707,0.918083,0.000401,0.337214,70
70,text,wiki:History_0,0.242720,0.918030,0.000319,0.301537,71
71,text,wiki:History_0,0.271342,0.918059,0.000396,0.345120,72
72,image,/tmp/omni_img_ahr7_nej/noise_01.png,0.058727,0.918258,0.000353,0.174986,73
73,text,wiki:History_0,0.266223,0.918105,0.000391,0.334720,74
74,text,wiki:Geography_0,0.234919,0.917951,0.000308,0.292097,75
75,text,wiki:Geography_0,0.265763,0.918101,0.000352,0.337963,76
76,text,wiki:Geography_0,0.443470,0.917854,0.002053,0.512520,77
77,physics,physics:step_21,0.058958,0.918350,0.000423,0.192307,78
78,text,wiki:Mathematics_2,0.248881,0.917991,0.000344,0.310278,79
79,physics,physics:step_22,0.054427,0.918224,0.000340,0.188306,80
80,physics,physics:step_23,0.061546,0.918340,0.000271,0.180332,81
81,text,wiki:Mathematics_2,0.266364,0.918061,0.000421,0.329674,82
82,image,/tmp/omni_img_ahr7_nej/noise_02.png,0.057033,0.918390,0.000227,0.181077,83
83,text,wiki:Geography_1,0.236690,0.918016,0.000337,0.284744,84
84,text,wiki:Geography_1,0.273008,0.917899,0.000436,0.337490,85
85,text,wiki:Geography_1,0.254855,0.918164,0.000315,0.319999,86
86,physics,physics:step_24,0.068401,0.918252,0.000260,0.180915,87
87,text,wiki:History_4,0.245905,0.917919,0.000337,0.299298,88
88,text,wiki:History_4,0.271342,0.918063,0.000395,0.337753,89
89,text,wiki:History_4,0.266223,0.918122,0.000343,0.331745,90
90,text,wiki:Geography_0,0.234919,0.917841,0.000272,0.293449,91
91,physics,physics:step_25,0.067510,0.918094,0.000316,0.190073,92
92,text,wiki:Geography_0,0.265763,0.918142,0.000355,0.332537,93
93,text,wiki:Geography_0,0.443470,0.917853,0.002031,0.502908,94
94,text,wiki:Biology_2,0.225765,0.918141,0.000227,0.289082,95
95,physics,physics:step_26,0.060107,0.918200,0.000331,0.188653,96
96,text,wiki:Biology_2,0.265468,0.918267,0.000342,0.336678,97
97,text,wiki:History_3,0.237630,0.917979,0.000276,0.299899,98
98,text,wiki:History_3,0.266213,0.918304,0.000314,0.339983,99
99,code,/tmp/omni_code_5rm7dhr_/fib_01.py,4.322077,0.892513,0.259265,4.281839,100
100,audio,/tmp/omni_aud_9vbpth3p/chirp_01_440hz.wav,0.170713,0.918510,0.000830,0.285158,112
101,physics,physics:step_27,0.061387,0.918060,0.000378,0.234554,113
102,text,wiki:Physics_3,0.245737,0.918015,0.000399,0.342747,114
103,code,/tmp/omni_code_5rm7dhr_/import_heavy_00.py,10.462508,0.766897,1.508222,10.422802,115
104,physics,physics:step_28,0.080012,0.916526,0.009941,0.756299,116
105,physics,physics:step_29,0.064644,0.918275,0.006922,0.666512,117
106,text,wiki:Physics_3,0.267137,0.889524,0.005370,0.651605,118
107,text,wiki:History_0,0.242720,0.917926,0.004017,0.584994,119
108,text,wiki:History_0,0.271342,0.918072,0.003190,0.564040,120
109,audio,/tmp/omni_aud_9vbpth3p/chord_00_220hz.wav,0.156743,0.918199,0.002493,0.497166,121
110,text,wiki:History_0,0.266223,0.918110,0.002057,0.501123,122
111,text,wiki:Physics_2,0.242079,0.917954,0.001619,0.460185,123
112,text,wiki:Physics_2,0.272555,0.889819,0.001473,0.465092,124
113,text,wiki:Physics_2,0.256701,0.918278,0.001166,0.440139,125
114,text,wiki:Mathematics_3,0.244391,0.918004,0.001085,0.409246,126
115,image,/tmp/omni_img_ahr7_nej/square_00.png,0.056485,0.902530,0.000815,0.332537,127
116,physics,physics:step_30,0.062024,0.918276,0.000739,0.321529,128
117,physics,physics:step_31,0.056036,0.918088,0.000655,0.298404,129
118,text,wiki:Mathematics_3,0.266256,0.918010,0.000757,0.389411,130
119,physics,physics:step_32,0.063737,0.918266,0.000478,0.286994,131
120,text,wiki:Geography_1,0.236690,0.917952,0.000619,0.337508,132
121,physics,physics:step_33,0.068812,0.918345,0.000420,0.270906,133
122,text,wiki:Geography_1,0.273008,0.918059,0.000659,0.374369,134
123,text,wiki:Geography_1,0.254855,0.918130,0.000479,0.356367,135
124,text,wiki:Geography_0,0.234919,0.917923,0.000447,0.324882,136
125,text,wiki:Geography_0,0.265763,0.918118,0.000466,0.364935,137
126,text,wiki:Geography_0,0.443470,0.918076,0.002145,0.530060,138
127,text,wiki:Mathematics_3,0.244391,0.917889,0.000433,0.336360,139
128,text,wiki:Mathematics_3,0.266256,0.918071,0.000377,0.371160,140
129,text,wiki:History_4,0.245905,0.918002,0.000333,0.340178,141
130,text,wiki:History_4,0.271342,0.917888,0.000375,0.376594,142
131,audio,/tmp/omni_aud_9vbpth3p/chord_01_440hz.wav,0.157181,0.918159,0.000717,0.292223,143
