step,n_replayed,duration_ms,mean_replay_fe,max_replay_fe,min_replay_fe,buffer_size_before,buffer_size_after
100,32,843.577,19.198175,20.074540,18.375962,100,100
200,32,837.724,19.887359,20.667193,19.140143,200,200
300,32,852.801,18.818938,19.667469,18.274452,300,300
400,32,878.302,19.305560,19.971161,18.583553,400,400
500,32,867.324,19.705103,20.861361,18.553268,500,500
600,32,846.011,19.385136,20.339629,18.558038,600,600
700,32,944.569,19.009821,19.998576,18.224119,700,700
800,32,970.673,20.064286,20.693760,19.194004,800,800
900,32,964.195,20.195880,20.807700,19.177809,900,900
1000,32,899.403,18.731922,19.368960,18.155429,1000,1000
