step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,agent_cx,agent_cy,agent_vx,agent_vy,n_bodies,is_post_disappear
0,1,7,2.250673,40.594692,0.883732,1.000000,9.259216,0.999010,1.000000,43.2696,45.8858,-7.8100,-5.6750,2,0
1,0,3,2.364422,54.941448,0.902057,1.000000,9.230408,0.997030,1.000000,43.2696,45.8858,-7.8100,-5.6750,2,0
2,0,5,2.036071,43.927738,0.902735,1.000000,9.230408,0.995050,1.000000,43.2696,45.8858,-7.8100,-5.6750,2,0
3,1,7,2.652209,43.780698,0.902844,1.000000,9.259216,0.993070,2.083954,43.2696,45.8858,-7.8100,-5.6750,2,0
4,1,0,2.453929,40.971265,0.903658,1.000000,9.230408,0.991090,0.823109,43.2696,45.8858,-7.8100,-5.6750,2,0
5,1,7,2.592124,39.144765,0.902964,1.000000,9.216003,0.989110,2.144929,43.2696,45.8858,-7.8100,-5.6750,2,0
6,1,7,2.332004,37.692526,0.903254,1.000000,9.244812,0.987130,2.280446,43.2696,45.8858,-7.8100,-5.6750,2,0
7,1,7,2.312596,38.035200,0.902445,1.000000,9.288025,0.985150,2.354394,43.2696,45.8858,-7.8100,-5.6750,2,0
8,1,7,2.336031,37.615763,0.903372,1.000000,9.302429,0.983170,2.209828,43.2696,45.8858,-7.8100,-5.6750,2,0
9,0,5,2.658304,38.067248,0.903219,1.000000,9.288025,0.981190,2.555323,43.2696,45.8858,-7.8100,-5.6750,2,0
10,1,7,2.748946,37.164498,0.902527,1.000000,9.259216,0.979210,2.122911,43.2696,45.8858,-7.8100,-5.6750,2,0
11,0,4,1.939648,36.995313,0.902776,1.000000,9.230408,0.977230,9.516040,43.2696,45.8858,-7.8100,-5.6750,2,0
12,0,4,2.763978,36.082848,0.902438,1.000000,9.244812,0.975250,7.704478,43.2696,45.8858,-7.8100,-5.6750,2,0
13,0,4,2.440550,35.990446,0.902445,1.000000,9.259216,0.973270,7.259662,43.2696,45.8858,-7.8100,-5.6750,2,0
14,0,3,2.974017,36.502883,0.902425,1.000000,9.259216,0.971290,8.766407,43.2696,45.8858,-7.8100,-5.6750,2,0
15,0,4,2.762214,36.441608,0.902937,1.000000,9.187195,0.969310,6.737946,43.2696,45.8858,-7.8100,-5.6750,2,0
16,0,4,2.909445,36.164174,0.902056,1.000000,9.244812,0.967330,5.954696,43.2696,45.8858,-7.8100,-5.6750,2,0
17,0,4,2.710257,36.087734,0.902762,1.000000,9.288025,0.965350,5.670017,43.2696,45.8858,-7.8100,-5.6750,2,0
18,0,5,2.630589,36.198061,0.902453,1.000000,9.288025,0.963370,2.243894,43.2696,45.8858,-7.8100,-5.6750,2,0
19,0,3,2.263480,36.315234,0.902214,1.000000,9.288025,0.961390,7.440341,43.2696,45.8858,-7.8100,-5.6750,2,0
20,1,6,2.343003,35.793893,0.902758,1.000000,9.273621,0.959410,2.950794,43.2696,45.8858,-7.8100,-5.6750,2,0
21,0,3,3.090544,35.445869,0.902599,1.000000,9.230408,0.957430,6.873208,43.2696,45.8858,-7.8100,-5.6750,2,0
22,0,3,2.621943,35.169746,0.902508,1.000000,9.230408,0.955450,6.512110,43.2696,45.8858,-7.8100,-5.6750,2,0
23,3,5,2.377749,35.335886,0.902841,1.000000,9.230408,0.953470,2.449156,43.2696,45.8858,-7.8100,-5.6750,2,0
24,0,2,2.631133,35.420809,0.902393,1.000000,9.259216,0.951490,2.243244,43.2696,45.8858,-7.8100,-5.6750,2,0
25,0,2,2.669279,35.473879,0.902701,1.000000,9.230408,0.949510,2.114419,43.2696,45.8858,-7.8100,-5.6750,2,0
26,3,6,2.574429,35.406341,0.902757,1.000000,9.230408,0.947530,2.398697,43.2696,45.8858,-7.8100,-5.6750,2,0
27,3,2,2.256908,35.393158,0.902484,1.000000,9.244812,0.945550,2.133104,43.2696,45.8858,-7.8100,-5.6750,2,0
28,0,5,2.612263,35.347471,0.902892,1.000000,9.273621,0.943570,1.422406,43.2696,45.8858,-7.8100,-5.6750,2,0
29,1,1,2.053127,35.511219,0.902427,1.000000,9.302429,0.941590,4.760953,43.2696,45.8858,-7.8100,-5.6750,2,0
30,1,1,2.996489,35.194211,0.902376,1.000000,9.259216,0.939610,4.219874,43.2696,45.8858,-7.8100,-5.6750,2,0
31,3,2,2.375986,35.148653,0.902447,1.000000,9.259216,0.937630,1.983874,43.2696,45.8858,-7.8100,-5.6750,2,0
32,0,2,2.084540,35.314257,0.902135,1.000000,9.216003,0.935650,1.985121,43.2696,45.8858,-7.8100,-5.6750,2,0
33,3,2,2.592577,35.266887,0.902076,1.000000,9.244812,0.933670,1.890195,43.2696,45.8858,-7.8100,-5.6750,2,0
34,1,1,2.920045,35.263091,0.902835,1.000000,9.259216,0.931690,4.105417,43.2696,45.8858,-7.8100,-5.6750,2,0
35,1,1,2.804237,35.323312,0.903017,1.000000,9.259216,0.929710,3.890728,43.2696,45.8858,-7.8100,-5.6750,2,0
36,0,3,2.389900,35.069319,0.903194,1.000000,9.259216,0.927730,0.942176,43.2696,45.8858,-7.8100,-5.6750,2,0
37,0,2,2.503181,35.255732,0.902896,1.000000,9.244812,0.925750,0.715501,43.2696,45.8858,-7.8100,-5.6750,2,0
38,1,6,2.273467,35.321210,0.902483,1.000000,9.244812,0.923770,2.196999,43.2696,45.8858,-7.8100,-5.6750,2,0
39,0,5,2.358687,35.147448,0.902871,1.000000,9.230408,0.921790,1.297247,43.2696,45.8858,-7.8100,-5.6750,2,0
40,1,1,2.205974,35.258107,0.902949,1.000000,9.259216,0.919810,1.084715,43.2696,45.8858,-7.8100,-5.6750,2,0
41,0,4,2.566162,34.941929,0.902509,1.000000,9.216003,0.917830,1.080754,43.2696,45.8858,-7.8100,-5.6750,2,0
42,0,2,2.274208,34.924422,0.902070,1.000000,9.230408,0.915850,0.778421,43.2696,45.8858,-7.8100,-5.6750,2,0
43,2,5,2.221319,35.044666,0.902981,1.000000,9.259216,0.913870,0.809564,43.2696,45.8858,-7.8100,-5.6750,2,0
44,1,1,2.327432,35.308187,0.902514,1.000000,9.230408,0.911890,0.910233,43.2696,45.8858,-7.8100,-5.6750,2,0
45,0,3,1.940222,35.462185,0.902912,1.000000,9.259216,0.909910,0.871815,43.2696,45.8858,-7.8100,-5.6750,2,0
46,1,6,2.321658,35.346197,0.902466,1.000000,9.244812,0.907930,0.656781,43.2696,45.8858,-7.8100,-5.6750,2,0
47,0,3,2.338156,35.382430,0.902243,1.000000,9.259216,0.905950,0.865817,43.2696,45.8858,-7.8100,-5.6750,2,0
48,1,7,2.736753,35.467471,0.902146,1.000000,9.230408,0.903970,0.949842,43.2696,45.8858,-7.8100,-5.6750,2,0
49,0,4,2.432652,35.473335,0.902446,1.000000,9.216003,0.901990,1.188673,43.2696,45.8858,-7.8100,-5.6750,2,0
50,2,5,2.182484,35.454942,0.902983,1.000000,9.259216,0.900010,0.430646,43.2696,45.8858,-7.8100,-5.6750,2,0
51,1,0,2.518877,35.564574,0.902747,1.000000,9.244812,0.898030,2.378563,43.2696,45.8858,-7.8100,-5.6750,2,0
52,2,6,2.403595,35.940241,0.902785,1.000000,9.230408,0.896050,0.494064,43.2696,45.8858,-7.8100,-5.6750,2,0
53,1,0,2.727864,36.126094,0.903078,1.000000,9.259216,0.894070,2.216813,43.2696,45.8858,-7.8100,-5.6750,2,0
54,0,4,2.675909,36.361041,0.902432,1.000000,9.244812,0.892090,1.149602,43.2696,45.8858,-7.8100,-5.6750,2,0
55,1,6,1.942594,36.224122,0.902800,1.000000,9.244812,0.890110,0.488972,43.2696,45.8858,-7.8100,-5.6750,2,0
56,3,2,1.957911,36.291984,0.903299,1.000000,9.244812,0.888130,0.600967,43.2696,45.8858,-7.8100,-5.6750,2,0
57,1,0,2.312081,36.285242,0.902956,1.000000,9.259216,0.886150,1.919901,43.2696,45.8858,-7.8100,-5.6750,2,0
58,1,0,2.508154,36.475619,0.903003,1.000000,9.273621,0.884170,1.617317,43.2696,45.8858,-7.8100,-5.6750,2,0
59,0,4,2.469678,36.519259,0.902858,1.000000,9.259216,0.882190,1.009770,43.2696,45.8858,-7.8100,-5.6750,2,0
60,0,4,2.334172,36.657694,0.902176,1.000000,9.259216,0.880210,0.989382,43.2696,45.8858,-7.8100,-5.6750,2,0
61,0,4,2.312237,36.836582,0.902931,1.000000,9.288025,0.878230,0.664519,43.2696,45.8858,-7.8100,-5.6750,2,0
62,0,3,2.398308,37.039002,0.902422,1.000000,9.230408,0.876250,0.667953,43.2696,45.8858,-7.8100,-5.6750,2,0
63,1,0,2.593798,37.192684,0.902830,1.000000,9.288025,0.874270,0.645098,43.2696,45.8858,-7.8100,-5.6750,2,0
64,1,7,2.459028,37.185049,0.902532,1.000000,9.216003,0.872290,0.984030,43.2696,45.8858,-7.8100,-5.6750,2,0
65,1,0,2.455370,36.807898,0.902744,1.000000,9.288025,0.870310,0.621553,43.2696,45.8858,-7.8100,-5.6750,2,0
66,2,6,2.350291,36.690268,0.902805,1.000000,9.244812,0.868330,0.449483,43.2696,45.8858,-7.8100,-5.6750,2,0
67,0,5,2.164006,36.765510,0.902511,1.000000,9.244812,0.866350,0.485426,43.2696,45.8858,-7.8100,-5.6750,2,0
68,2,6,2.354169,36.956157,0.902848,1.000000,9.288025,0.864370,0.513581,43.2696,45.8858,-7.8100,-5.6750,2,0
69,0,4,2.452393,37.077009,0.902498,1.000000,9.244812,0.862390,0.554394,43.2696,45.8858,-7.8100,-5.6750,2,0
70,3,2,2.532334,37.242640,0.903192,1.000000,9.259216,0.860410,1.062598,43.2696,45.8858,-7.8100,-5.6750,2,0
71,0,3,2.450416,37.385964,0.902900,1.000000,9.273621,0.858430,0.856344,43.2696,45.8858,-7.8100,-5.6750,2,0
72,0,4,2.356670,37.298962,0.902195,1.000000,9.259216,0.856450,0.316283,43.2696,45.8858,-7.8100,-5.6750,2,0
73,1,6,2.194224,37.638150,0.902429,1.000000,9.259216,0.854470,0.596774,43.2696,45.8858,-7.8100,-5.6750,2,0
74,0,5,1.784577,37.647983,0.902602,1.000000,9.288025,0.852490,0.519275,43.2696,45.8858,-7.8100,-5.6750,2,0
75,0,2,2.674217,37.632528,0.902510,1.000000,9.230408,0.850510,1.221245,43.2696,45.8858,-7.8100,-5.6750,2,0
76,0,5,2.435125,37.775292,0.902814,1.000000,9.302429,0.848530,0.879885,43.2696,45.8858,-7.8100,-5.6750,2,0
77,1,7,2.267778,37.747615,0.903103,1.000000,9.302429,0.846550,0.817978,43.2696,45.8858,-7.8100,-5.6750,2,0
78,1,6,2.285896,37.706294,0.902182,1.000000,9.230408,0.844570,0.727470,43.2696,45.8858,-7.8100,-5.6750,2,0
79,0,4,2.115780,37.602482,0.902377,1.000000,9.288025,0.842590,0.204110,43.2696,45.8858,-7.8100,-5.6750,2,0
80,0,5,2.349092,37.436608,0.903210,1.000000,9.259216,0.840610,1.149816,43.2696,45.8858,-7.8100,-5.6750,2,0
81,3,2,2.542293,37.607889,0.902553,1.000000,9.259216,0.838630,1.256077,43.2696,45.8858,-7.8100,-5.6750,2,0
82,3,4,1.943445,37.805836,0.902869,1.000000,9.288025,0.836650,0.216686,43.2696,45.8858,-7.8100,-5.6750,2,0
83,1,0,2.622525,37.893626,0.902197,1.000000,9.216003,0.834670,0.747436,43.2696,45.8858,-7.8100,-5.6750,2,0
84,0,3,2.343988,37.886086,0.902851,1.000000,9.302429,0.832690,1.030754,43.2696,45.8858,-7.8100,-5.6750,2,0
85,1,0,2.335072,37.714324,0.902781,1.000000,9.273621,0.830710,0.718583,43.2696,45.8858,-7.8100,-5.6750,2,0
86,0,5,2.552821,37.905341,0.902933,1.000000,9.259216,0.828730,1.140587,43.2696,45.8858,-7.8100,-5.6750,2,0
87,1,1,2.502445,37.998116,0.902752,1.000000,9.259216,0.826750,1.237367,43.2696,45.8858,-7.8100,-5.6750,2,0
88,0,5,2.519354,38.073597,0.902778,1.000000,9.259216,0.824770,1.004005,43.2696,45.8858,-7.8100,-5.6750,2,0
89,0,4,2.180377,37.934277,0.902480,1.000000,9.259216,0.822790,0.265394,43.2696,45.8858,-7.8100,-5.6750,2,0
90,0,5,2.275698,37.758811,0.902606,1.000000,9.288025,0.820810,0.726522,43.2696,45.8858,-7.8100,-5.6750,2,0
91,2,6,2.229725,37.790011,0.902890,1.000000,9.216003,0.818830,0.567375,43.2696,45.8858,-7.8100,-5.6750,2,0
92,0,2,2.578822,37.799176,0.902881,1.000000,9.288025,0.816850,0.450400,43.2696,45.8858,-7.8100,-5.6750,2,0
93,0,3,2.790269,37.595843,0.902529,1.000000,9.288025,0.814870,0.965291,43.2696,45.8858,-7.8100,-5.6750,2,0
94,1,7,2.731301,37.798895,0.902094,1.000000,9.259216,0.812890,0.809909,43.2696,45.8858,-7.8100,-5.6750,2,0
95,0,3,2.415243,37.858255,0.903247,1.000000,9.288025,0.810910,0.763239,43.2696,45.8858,-7.8100,-5.6750,2,0
96,1,6,2.157274,37.860112,0.903128,1.000000,9.230408,0.808930,0.372400,43.2696,45.8858,-7.8100,-5.6750,2,0
97,3,3,2.230687,37.906646,0.902458,1.000000,9.230408,0.806950,0.720040,43.2696,45.8858,-7.8100,-5.6750,2,0
98,1,1,2.446326,38.000060,0.903142,1.000000,9.288025,0.804970,1.243438,43.2696,45.8858,-7.8100,-5.6750,2,0
99,3,2,2.129960,38.053607,0.903700,1.000000,9.259216,0.802990,0.468370,43.2696,45.8858,-7.8100,-5.6750,2,0
100,1,0,2.374005,38.392529,0.903196,1.000000,9.273621,0.801010,0.723114,43.2696,45.8858,-7.8100,-5.6750,2,0
101,1,6,2.394479,38.123780,0.902875,1.000000,9.302429,0.799030,0.338896,43.2696,45.8858,-7.8100,-5.6750,2,0
102,0,4,2.044240,37.990295,0.902611,1.000000,9.259216,0.797050,0.358799,43.2696,45.8858,-7.8100,-5.6750,2,0
103,0,3,2.797603,37.750075,0.902901,1.000000,9.302429,0.795070,0.760631,43.2696,45.8858,-7.8100,-5.6750,2,0
104,0,4,2.575162,37.719217,0.902541,1.000000,9.244812,0.793090,0.436817,43.2696,45.8858,-7.8100,-5.6750,2,0
105,0,2,2.275059,37.766431,0.902435,1.000000,9.216003,0.791110,0.466001,43.2696,45.8858,-7.8100,-5.6750,2,0
106,0,3,2.403340,37.738517,0.902514,1.000000,9.288025,0.789130,0.593867,43.2696,45.8858,-7.8100,-5.6750,2,0
107,1,6,2.266019,37.855179,0.902771,1.000000,9.230408,0.787150,0.387646,43.2696,45.8858,-7.8100,-5.6750,2,0
108,3,1,2.053015,37.711281,0.902509,1.000000,9.259216,0.785170,0.870768,43.2696,45.8858,-7.8100,-5.6750,2,0
109,1,0,2.421697,37.872751,0.902960,1.000000,9.288025,0.783190,0.510682,43.2696,45.8858,-7.8100,-5.6750,2,0
110,0,3,2.066400,37.712472,0.902547,1.000000,9.259216,0.781210,0.538210,43.2696,45.8858,-7.8100,-5.6750,2,0
111,0,4,2.614831,38.056570,0.902878,1.000000,9.302429,0.779230,0.517307,43.2696,45.8858,-7.8100,-5.6750,2,0
112,3,1,2.175283,38.296778,0.902162,1.000000,9.230408,0.777250,0.465452,43.2696,45.8858,-7.8100,-5.6750,2,0
113,0,5,2.344424,38.220642,0.902872,1.000000,9.230408,0.775270,0.377433,43.2696,45.8858,-7.8100,-5.6750,2,0
114,0,2,2.358023,38.220535,0.903013,1.000000,9.302429,0.773290,0.436607,43.2696,45.8858,-7.8100,-5.6750,2,0
115,3,2,2.297158,38.237103,0.903036,1.000000,9.244812,0.771310,0.438645,43.2696,45.8858,-7.8100,-5.6750,2,0
116,0,4,2.243472,38.157943,0.903115,1.000000,9.230408,0.769330,0.545864,43.2696,45.8858,-7.8100,-5.6750,2,0
117,1,6,2.553912,38.407319,0.902256,1.000000,9.259216,0.767350,0.441268,43.2696,45.8858,-7.8100,-5.6750,2,0
118,1,6,2.676906,38.546750,0.903210,1.000000,9.259216,0.765370,0.571036,43.2696,45.8858,-7.8100,-5.6750,2,0
119,0,3,2.318749,38.694508,0.903255,1.000000,9.244812,0.763390,0.481289,43.2696,45.8858,-7.8100,-5.6750,2,0
120,0,3,2.558499,38.513242,0.903179,1.000000,9.230408,0.761410,0.568570,43.2696,45.8858,-7.8100,-5.6750,2,0
121,3,2,2.559290,38.382165,0.902512,1.000000,9.230408,0.759430,0.498388,43.2696,45.8858,-7.8100,-5.6750,2,0
