step,n_replayed,duration_ms,mean_replay_fe,max_replay_fe,min_replay_fe,buffer_size_before,buffer_size_after
100,32,852.509,19.198175,20.074540,18.375962,100,100
200,32,839.535,19.887359,20.667193,19.140143,200,200
300,32,837.779,18.818938,19.667469,18.274452,300,300
400,32,866.028,19.305560,19.971161,18.583553,400,400
500,32,846.311,19.705103,20.861361,18.553268,500,500
600,32,846.345,19.385136,20.339629,18.558038,600,600
700,32,874.902,19.009821,19.998576,18.224119,700,700
800,32,850.728,20.064286,20.693760,19.194004,800,800
900,32,866.717,20.195880,20.807700,19.177809,900,900
1000,32,892.714,18.731922,19.368960,18.155429,1000,1000
1100,32,890.765,19.747661,20.246687,19.312359,1100,1100
1200,32,834.591,19.553416,20.374675,18.691175,1200,1200
1300,32,966.762,19.697232,20.511615,19.027034,1300,1300
1400,32,864.695,20.030290,21.410706,19.100656,1400,1400
1500,32,1010.342,19.462304,20.023171,18.319478,1500,1500
1600,32,849.941,19.677791,20.383234,18.810190,1600,1600
1700,32,886.533,19.410123,20.756153,18.647485,1700,1700
1800,32,849.432,19.740013,20.350288,19.182689,1800,1800
1900,32,849.757,19.263511,20.201486,18.566430,1900,1900
2000,32,879.339,19.204151,19.999163,18.722565,2000,2000
2100,32,855.147,19.524860,20.261449,18.693187,2100,2100
2200,32,987.890,20.157350,20.859827,19.278920,2200,2200
2300,32,844.632,19.590315,20.086231,18.681307,2300,2300
2400,32,850.101,18.943519,19.341437,18.563109,2400,2400
2500,32,871.110,19.337178,20.307504,18.432782,2500,2500
2600,32,833.525,20.717203,21.605308,19.856387,2600,2600
2700,32,842.658,19.601481,20.589021,18.571950,2700,2700
2800,32,851.639,19.090857,19.917603,18.456733,2800,2800
2900,32,850.825,19.369599,20.316435,18.356222,2900,2900
3000,32,849.546,18.833205,20.409241,18.171148,3000,3000
3100,32,985.617,19.968703,21.031715,18.989055,3100,3100
3200,32,868.976,18.922273,19.809479,18.271805,3200,3200
3300,32,850.635,19.087296,19.565857,18.300830,3300,3300
3400,32,866.480,19.278292,19.923200,18.585938,3400,3400
3500,32,853.503,20.357118,20.986389,19.741030,3500,3500
3600,32,853.408,20.480894,20.918435,19.884874,3600,3600
3700,32,889.899,19.636662,20.302436,18.945845,3700,3700
3800,32,869.477,19.588488,20.545147,18.725205,3800,3800
3900,32,850.192,19.748793,20.263579,19.185432,3900,3900
4000,32,853.363,19.531685,20.173231,18.769999,4000,4000
4100,32,982.649,19.600877,19.984460,18.998405,4100,4100
4200,32,892.358,19.851678,20.327820,19.386875,4200,4200
4300,32,842.038,19.998945,21.027759,18.924728,4300,4300
4400,32,843.201,19.090771,19.957525,18.076377,4400,4400
4500,32,876.767,19.716912,20.086879,19.362453,4500,4500
4600,32,933.069,19.048175,19.882707,18.256155,4600,4600
4700,32,870.288,18.962113,19.842862,18.246401,4700,4700
4800,32,845.736,19.557238,19.953574,19.037565,4800,4800
4900,32,857.713,19.513121,19.890369,18.998420,4900,4900
5000,32,869.074,19.998794,20.764719,19.346679,5000,5000
