step,nav_action,nav_action_name,action_vec_norm,free_energy,prediction_error,confidence,obs_norm,pos_before,pos_after,wrapped,beta,info_gain,text_preview
0,0,forward,1.458958,10.518724,0.200961,0.897330,0.186413,0,128,0,0.999604,1.000000,er a free-energy-min
1,0,forward,1.704773,28.738183,0.208413,0.916814,0.195890,128,256,0,0.999208,9.136669,"ned embeddings, no t"
2,0,forward,1.883913,23.824006,0.208026,0.916668,0.192597,256,384,0,0.998812,7.761559,Active inference pro
3,1,backward,1.615520,21.815888,0.214638,0.917050,0.195890,384,256,0,0.998416,1.000000,"ned embeddings, no t"
4,1,backward,2.678281,20.802238,0.216050,0.918068,0.186413,256,128,0,0.998020,6.151887,er a free-energy-min
5,0,forward,1.969912,20.862717,0.222736,0.916761,0.195890,128,256,0,0.997624,3.861805,"ned embeddings, no t"
6,0,forward,1.670275,20.646157,0.224639,0.916820,0.192597,256,384,0,0.997228,5.238318,Active inference pro
7,4,stay,1.539549,19.031606,0.228473,0.916964,0.192597,384,384,0,0.996832,4.711900,Active inference pro
8,1,backward,1.830858,18.995464,0.233881,0.917078,0.195890,384,256,0,0.996436,1.000000,"ned embeddings, no t"
9,0,forward,1.803679,18.380084,0.236596,0.916882,0.192597,256,384,0,0.996040,4.577713,Active inference pro
10,2,fast_forward,1.668608,17.925142,0.215697,0.917249,0.165020,384,896,0,0.995644,3.874328,d with an informatio
11,3,fast_backward,0.939113,17.204232,0.242772,0.916925,0.192597,896,384,0,0.995248,3.727785,Active inference pro
12,1,backward,1.547588,16.839019,0.247263,0.916980,0.195890,384,256,0,0.994852,4.048815,"ned embeddings, no t"
13,2,fast_forward,1.877748,16.860442,0.289106,0.917986,0.236386,256,768,0,0.994456,3.389892,"ext, free energy sho"
14,2,fast_forward,2.005865,16.507091,0.236185,0.916885,0.179216,768,1280,0,0.994060,3.123892,h character blocks i
15,4,stay,1.952933,16.346631,0.239309,0.916952,0.179216,1280,1280,0,0.993664,3.061123,h character blocks i
16,3,fast_backward,1.119633,16.024366,0.299828,0.917432,0.236386,1280,768,0,0.993268,2.738802,"ext, free energy sho"
17,2,fast_forward,1.811221,16.065205,0.247092,0.917080,0.179216,768,1280,0,0.992872,2.705830,h character blocks i
18,4,stay,1.786488,15.923329,0.249737,0.917012,0.179216,1280,1280,0,0.992476,2.551171,h character blocks i
19,0,forward,2.283021,15.858893,0.279790,0.917856,0.200901,1280,1408,0,0.992080,1.578954,tor using a random p
20,2,fast_forward,1.672560,15.795692,0.332787,0.917364,0.254057,1408,1920,0,0.991684,0.959190,rror. Evaluation of
21,0,forward,1.994354,15.762912,0.260122,0.917189,0.175441,1920,2048,0,0.991288,1.000000,statistics of the te
22,0,forward,1.412838,15.980123,0.266336,0.917440,0.177662,2048,2176,0,0.990892,0.822849,provide additional
23,2,fast_forward,1.683739,16.191832,0.303524,0.917189,0.221963,2176,2688,0,0.990496,2.354945,e comes next. The te
24,2,fast_forward,2.226390,16.262904,0.334197,0.917572,0.245962,2688,3200,0,0.990100,2.674650,he surprise of its o
25,1,backward,1.985689,16.487453,0.292091,0.916588,0.203670,3200,3072,0,0.989704,2.046563,des the mathematical
26,3,fast_backward,1.831809,16.449386,0.310281,0.917015,0.214403,3072,2560,0,0.989308,1.424846,s or re-read passage
27,0,forward,1.715511,16.414890,0.314339,0.917296,0.221963,2560,2688,0,0.988912,0.622671,e comes next. The te
28,4,stay,1.514029,16.477431,0.317067,0.917289,0.221963,2688,2688,0,0.988516,1.972881,e comes next. The te
29,4,stay,1.452531,16.540721,0.319685,0.917271,0.221963,2688,2688,0,0.988120,2.111326,e comes next. The te
30,2,fast_forward,1.409321,16.331718,0.348944,0.917509,0.245962,2688,3200,0,0.987724,0.512263,he surprise of its o
31,2,fast_forward,1.378949,16.268949,0.306901,0.916882,0.194548,3200,3712,0,0.987328,1.252095,s no pretrained embe
32,4,stay,1.568692,16.363665,0.307600,0.916877,0.194548,3712,3712,0,0.986932,1.063446,s no pretrained embe
33,3,fast_backward,1.881246,16.190798,0.354130,0.917347,0.245962,3712,3200,0,0.986536,0.495299,he surprise of its o
34,2,fast_forward,1.431906,16.080305,0.311837,0.917038,0.194548,3200,3712,0,0.986140,2.985468,s no pretrained embe
35,3,fast_backward,1.254734,16.042840,0.358145,0.917686,0.245962,3712,3200,0,0.985744,0.531794,he surprise of its o
