step,pos,free_energy,prediction_error,n_rare_bigrams,n_space_boundaries,density_rare,density_space
50,3456,0.000703,0.360679,54,22,0.425197,0.173228
100,4608,0.000452,0.348463,64,21,0.503937,0.165354
150,5376,0.000512,0.370935,53,22,0.417323,0.173228
200,3840,0.000287,0.335769,66,16,0.519685,0.125984
250,4224,0.000276,0.324771,66,19,0.519685,0.149606
300,4608,0.000447,0.351890,64,21,0.503937,0.165354
350,5376,0.000514,0.373109,53,22,0.417323,0.173228
400,256,0.000279,0.322307,75,20,0.590551,0.157480
450,512,0.000439,0.363616,60,22,0.472441,0.173228
500,0,0.000296,0.339792,69,16,0.543307,0.125984
550,2304,0.000277,0.314921,64,19,0.503937,0.149606
600,1408,0.000296,0.335930,62,19,0.488189,0.149606
650,1920,0.000311,0.342037,69,16,0.543307,0.125984
700,2816,0.000236,0.297451,66,19,0.519685,0.149606
750,1792,0.000314,0.309277,75,16,0.590551,0.125984
800,1280,0.000249,0.307570,61,21,0.480315,0.165354
850,640,0.000493,0.371927,55,21,0.433071,0.165354
900,1152,0.000434,0.349609,65,18,0.511811,0.141732
950,2560,0.000535,0.367747,59,20,0.464567,0.157480
1000,1920,0.000312,0.341871,69,16,0.543307,0.125984
