step,nav_action,nav_action_name,action_vec_norm,free_energy,prediction_error,confidence,obs_norm,pos_before,pos_after,wrapped,beta,info_gain,text_preview,buffer_size_after,in_consolidation,delta_fe_consolidation
0,0,forward,1.458941,0.001045,0.200748,0.897330,0.186413,0,128,0,0.999010,1.000000,er a free-energy-min,1,0,0.000000
1,0,forward,1.704887,0.001058,0.208066,0.916814,0.195890,128,256,0,0.998020,9.136847,"ned embeddings, no t",2,0,0.000000
2,0,forward,1.883949,0.000948,0.207481,0.916668,0.192597,256,384,0,0.997030,7.761633,Active inference pro,3,0,0.000000
3,1,backward,1.615462,0.000886,0.213840,0.917050,0.195890,384,256,1,0.996040,1.000000,"ned embeddings, no t",4,0,0.000000
4,1,backward,2.678281,0.000750,0.214719,0.918068,0.186413,256,128,1,0.995050,6.151917,er a free-energy-min,5,0,0.000000
5,0,forward,1.969180,0.000771,0.221306,0.916761,0.195890,128,256,0,0.994060,3.862261,"ned embeddings, no t",6,0,0.000000
6,0,forward,1.670406,0.000706,0.222822,0.916820,0.192597,256,384,0,0.993070,5.238319,Active inference pro,7,0,0.000000
7,4,stay,1.539376,0.000661,0.226244,0.916964,0.192597,384,384,0,0.992080,4.711864,Active inference pro,8,0,0.000000
8,1,backward,1.829878,0.000643,0.231224,0.917078,0.195890,384,256,1,0.991090,1.000000,"ned embeddings, no t",9,0,0.000000
9,0,forward,1.803281,0.000592,0.233440,0.916882,0.192597,256,384,0,0.990100,4.577383,Active inference pro,10,0,0.000000
10,2,fast_forward,1.667887,0.000426,0.211745,0.917249,0.165020,384,896,0,0.989110,3.873990,d with an informatio,11,0,0.000000
11,3,fast_backward,0.939254,0.000548,0.238662,0.916925,0.192597,896,384,1,0.988120,3.727596,Active inference pro,12,0,0.000000
12,1,backward,1.546897,0.000550,0.242661,0.916980,0.195890,384,256,1,0.987130,4.049222,"ned embeddings, no t",13,0,0.000000
13,2,fast_forward,1.878479,0.000856,0.284239,0.917986,0.236386,256,768,0,0.986140,3.389899,"ext, free energy sho",14,0,0.000000
14,2,fast_forward,2.004523,0.000418,0.230244,0.916885,0.179216,768,1280,0,0.985150,3.123666,h character blocks i,15,0,0.000000
15,4,stay,1.954041,0.000407,0.232805,0.916952,0.179216,1280,1280,0,0.984160,3.061411,h character blocks i,16,0,0.000000
16,3,fast_backward,1.117025,0.000791,0.293304,0.917432,0.236386,1280,768,1,0.983170,2.739101,"ext, free energy sho",17,0,0.000000
17,2,fast_forward,1.812682,0.000383,0.239317,0.917080,0.179216,768,1280,0,0.982180,2.705652,h character blocks i,18,0,0.000000
18,4,stay,1.786013,0.000375,0.241382,0.917012,0.179216,1280,1280,0,0.981190,2.551010,h character blocks i,19,0,0.000000
19,0,forward,2.282819,0.000452,0.270936,0.917856,0.200901,1280,1408,0,0.980200,1.579459,tor using a random p,20,0,0.000000
20,2,fast_forward,1.670755,0.000498,0.282513,0.917505,0.200430,1408,1920,0,0.979210,0.959359,rror. Cognitive emer,21,0,0.000000
21,0,forward,1.993144,0.000412,0.266384,0.917429,0.188672,1920,2048,0,0.978220,1.000000,whether a free-ener,22,0,0.000000
22,0,forward,1.409961,0.000436,0.272287,0.917659,0.194097,2048,2176,0,0.977230,0.823403,retrained embeddings,23,0,0.000000
23,2,fast_forward,1.685415,0.000706,0.312451,0.917269,0.240073,2176,2688,0,0.976240,2.355276,"the text, free ener",24,0,0.000000
24,2,fast_forward,2.226938,0.000354,0.256613,0.917140,0.180657,2688,3200,0,0.975250,2.672597,-length character bl,25,0,0.000000
25,1,backward,2.072335,0.000599,0.294413,0.917047,0.218552,3200,3072,1,0.974260,2.266145,eading phase comes n,26,0,0.000000
26,0,forward,1.829580,0.000344,0.259650,0.916838,0.180657,3072,3200,0,0.973270,1.425512,-length character bl,27,0,0.000000
27,0,forward,1.713474,0.000361,0.282695,0.917565,0.194453,3200,3328,0,0.972280,0.624662,on vector using a ra,28,0,0.000000
28,4,stay,1.513494,0.000353,0.284595,0.917547,0.194453,3328,3328,0,0.971290,2.123828,on vector using a ra,29,0,0.000000
29,4,stay,1.457341,0.000347,0.286395,0.917502,0.194453,3328,3328,0,0.970300,2.047721,on vector using a ra,30,0,0.000000
30,2,fast_forward,1.409684,0.000403,0.293773,0.917907,0.192127,3328,3840,0,0.969310,0.513179,tion error. Cognitiv,31,0,0.000000
31,2,fast_forward,1.381729,0.000493,0.303020,0.917378,0.212722,3840,4352,0,0.968320,1.266979,o minimise free ener,32,0,0.000000
32,4,stay,1.571087,0.000483,0.304506,0.917354,0.212722,4352,4352,0,0.967330,1.052032,o minimise free ener,33,0,0.000000
33,3,fast_backward,1.880721,0.000383,0.297541,0.917683,0.192127,4352,3840,1,0.966340,0.427793,tion error. Cognitiv,34,0,0.000000
34,2,fast_forward,1.436483,0.000471,0.306392,0.917543,0.212722,3840,4352,0,0.965350,2.905251,o minimise free ener,35,0,0.000000
35,3,fast_backward,2.208888,0.000371,0.299415,0.918043,0.192127,4352,3840,1,0.964360,2.226950,tion error. Cognitiv,36,0,0.000000
36,0,forward,1.904106,0.000368,0.296886,0.917316,0.197040,3840,3968,0,0.963370,2.075612,tests whether a fre,37,0,0.000000
37,0,forward,1.806643,0.000386,0.291284,0.916968,0.194548,3968,4096,0,0.962380,2.152053,s no pretrained embe,38,0,0.000000
38,3,fast_backward,1.496356,0.000422,0.262832,0.917028,0.169433,4096,3584,1,0.961390,2.075549,text. If it remains,39,0,0.000000
39,1,backward,1.752730,0.000774,0.350998,0.917375,0.262342,3584,3456,1,0.960400,0.138968,of the text loop foc,40,0,0.000000
40,3,fast_backward,1.597981,0.000567,0.317725,0.917404,0.219011,3456,2944,1,0.959410,1.866473,iar passages or re-r,41,0,0.000000
41,2,fast_forward,1.680126,0.000737,0.354880,0.917603,0.262342,2944,3456,0,0.958420,1.778612,of the text loop foc,42,0,0.000000
42,4,stay,2.166410,0.000711,0.358130,0.917368,0.262342,3456,3456,0,0.957430,1.687679,of the text loop foc,43,0,0.000000
43,3,fast_backward,1.825993,0.000543,0.325291,0.917450,0.219011,3456,2944,1,0.956440,1.200510,iar passages or re-r,44,0,0.000000
44,1,backward,1.309192,0.000304,0.281550,0.917094,0.170735,2944,2816,1,0.955450,0.487838,xtended with an info,45,0,0.000000
45,4,stay,1.394074,0.000296,0.279890,0.917143,0.170735,2816,2816,0,0.954460,1.125073,xtended with an info,46,0,0.000000
46,1,backward,1.376735,0.000553,0.338070,0.917319,0.240073,2816,2688,1,0.953470,1.136059,"the text, free ener",47,0,0.000000
47,0,forward,1.096684,0.000289,0.281046,0.917201,0.170735,2688,2816,0,0.952480,0.498414,xtended with an info,48,0,0.000000
48,2,fast_forward,1.582704,0.000311,0.305681,0.917373,0.194453,2816,3328,0,0.951490,0.356389,on vector using a ra,49,0,0.000000
49,0,forward,1.924236,0.000703,0.360679,0.917349,0.262342,3328,3456,0,0.950500,1.062781,of the text loop foc,50,0,0.000000
50,4,stay,1.469729,0.000679,0.363722,0.917708,0.262342,3456,3456,0,0.949510,0.362079,of the text loop foc,51,0,0.000000
51,1,backward,1.377047,0.000297,0.312855,0.917480,0.194453,3456,3328,1,0.948520,0.138517,on vector using a ra,52,0,0.000000
52,2,fast_forward,1.842547,0.000331,0.318059,0.917573,0.192127,3328,3840,0,0.947530,0.662583,tion error. Cognitiv,53,0,0.000000
53,4,stay,2.115762,0.000326,0.317381,0.917430,0.192127,3840,3840,0,0.946540,1.070409,tion error. Cognitiv,54,0,0.000000
54,1,backward,1.402415,0.000415,0.292083,0.916545,0.185869,3840,3712,1,0.945550,0.392792,al diagnostic signal,55,0,0.000000
55,3,fast_backward,1.732757,0.000318,0.288336,0.917029,0.180657,3712,3200,1,0.944560,0.443238,-length character bl,56,0,0.000000
56,0,forward,1.748247,0.000297,0.310531,0.917329,0.194453,3200,3328,0,0.943570,0.522819,on vector using a ra,57,0,0.000000
57,0,forward,1.669931,0.000685,0.364928,0.917591,0.262342,3328,3456,0,0.942580,0.459601,of the text loop foc,58,0,0.000000
58,4,stay,1.317039,0.000663,0.367781,0.917407,0.262342,3456,3456,0,0.941590,0.347712,of the text loop foc,59,0,0.000000
59,4,stay,1.392912,0.000643,0.370473,0.917636,0.262342,3456,3456,0,0.940600,0.453939,of the text loop foc,60,0,0.000000
60,1,backward,1.641651,0.000284,0.319965,0.917929,0.194453,3456,3328,1,0.939610,0.217852,on vector using a ra,61,0,0.000000
61,4,stay,1.499731,0.000281,0.319799,0.917378,0.194453,3328,3328,0,0.938620,0.390701,on vector using a ra,62,0,0.000000
62,2,fast_forward,1.205894,0.000322,0.323987,0.918112,0.192127,3328,3840,0,0.937630,0.656201,tion error. Cognitiv,63,0,0.000000
63,1,backward,1.550045,0.000411,0.297938,0.917288,0.185869,3840,3712,1,0.936640,0.369717,al diagnostic signal,64,0,0.000000
64,1,backward,1.588730,0.000423,0.283584,0.917079,0.169433,3712,3584,1,0.935650,0.363375,text. If it remains,65,0,0.000000
65,1,backward,1.532773,0.000670,0.368317,0.917525,0.262342,3584,3456,1,0.934660,0.661912,of the text loop foc,66,0,0.000000
66,1,backward,1.833940,0.000282,0.318175,0.917553,0.194453,3456,3328,1,0.933670,0.387271,on vector using a ra,67,0,0.000000
67,4,stay,1.439306,0.000280,0.318275,0.917459,0.194453,3328,3328,0,0.932680,0.387066,on vector using a ra,68,0,0.000000
68,2,fast_forward,1.298590,0.000321,0.321889,0.918175,0.192127,3328,3840,0,0.931690,0.238181,tion error. Cognitiv,69,0,0.000000
69,0,forward,1.491221,0.000323,0.318576,0.917529,0.197040,3840,3968,0,0.930700,0.415245,tests whether a fre,70,0,0.000000
70,0,forward,1.595376,0.000343,0.310315,0.917020,0.194548,3968,4096,0,0.929710,0.526951,s no pretrained embe,71,0,0.000000
71,2,fast_forward,1.401881,0.000466,0.343242,0.917728,0.231827,4096,4608,0,0.928720,0.492781,"ics of the text, fre",72,0,0.000000
72,3,fast_backward,1.526820,0.000338,0.311258,0.916968,0.194548,4608,4096,1,0.927730,0.340144,s no pretrained embe,73,0,0.000000
73,4,stay,1.585543,0.000334,0.310610,0.916709,0.194548,4096,4096,0,0.926740,0.558634,s no pretrained embe,74,0,0.000000
74,4,stay,1.658279,0.000331,0.310059,0.916894,0.194548,4096,4096,0,0.925750,0.657443,s no pretrained embe,75,0,0.000000
75,1,backward,1.629471,0.000319,0.317914,0.917613,0.197040,4096,3968,1,0.924760,0.683782,tests whether a fre,76,0,0.000000
76,4,stay,1.334243,0.000317,0.317967,0.917418,0.197040,3968,3968,0,0.923770,0.572577,tests whether a fre,77,0,0.000000
77,2,fast_forward,1.572332,0.000646,0.369441,0.917184,0.260843,3968,4480,0,0.922780,0.474048,the free energy ref,78,0,0.000000
78,4,stay,1.584414,0.000621,0.371936,0.917628,0.260843,4480,4480,0,0.921790,0.675717,the free energy ref,79,0,0.000000
79,1,backward,1.750979,0.000380,0.333676,0.917450,0.212722,4480,4352,1,0.920800,0.866749,o minimise free ener,80,0,0.000000
80,2,fast_forward,1.759179,0.000490,0.331351,0.917243,0.212515,4352,4864,0,0.919810,0.832966,nfamiliar passages o,81,0,0.000000
81,2,fast_forward,1.528609,0.000527,0.364327,0.917610,0.248801,4864,5376,0,0.918820,0.454849,ation of the text lo,82,0,0.000000
82,1,backward,1.421160,0.000307,0.332288,0.917388,0.201111,5376,5248,1,0.917830,0.836643,ervation vector usin,83,0,0.000000
83,3,fast_backward,1.656511,0.000296,0.304800,0.918111,0.181195,5248,4736,1,0.916840,1.024017,was extended with a,84,0,0.000000
84,1,backward,1.909442,0.000442,0.348597,0.917671,0.231827,4736,4608,1,0.915850,0.888190,"ics of the text, fre",85,0,0.000000
85,2,fast_forward,1.300571,0.000336,0.296958,0.916882,0.183160,4608,5120,0,0.914860,0.620415,fixed-length charac,86,0,0.000000
86,3,fast_backward,1.471600,0.000443,0.348836,0.917614,0.231827,5120,4608,1,0.913870,0.820603,"ics of the text, fre",87,0,0.000000
87,4,stay,1.224413,0.000437,0.350078,0.917486,0.231827,4608,4608,0,0.912880,0.586640,"ics of the text, fre",88,0,0.000000
88,3,fast_backward,1.693524,0.000323,0.318070,0.916833,0.194548,4608,4096,1,0.911890,0.969853,s no pretrained embe,89,0,0.000000
89,0,forward,1.551071,0.000288,0.322113,0.916688,0.199042,4096,4224,0,0.910900,0.766508,om scratch. Active i,90,0,0.000000
90,1,backward,1.656913,0.000319,0.316613,0.916762,0.194548,4224,4096,1,0.909910,0.823191,s no pretrained embe,91,0,0.000000
91,2,fast_forward,1.225697,0.000441,0.349253,0.917631,0.231827,4096,4608,0,0.908920,0.801501,"ics of the text, fre",92,0,0.000000
92,2,fast_forward,1.775550,0.000329,0.297547,0.916738,0.183160,4608,5120,0,0.907930,0.746721,fixed-length charac,93,0,0.000000
93,0,forward,1.196517,0.000308,0.332159,0.917999,0.201111,5120,5248,0,0.906940,0.430998,ervation vector usin,94,0,0.000000
94,0,forward,1.508827,0.000530,0.366134,0.917497,0.248801,5248,5376,0,0.905950,0.730495,ation of the text lo,95,0,0.000000
95,0,forward,1.735407,0.000343,0.300028,0.917085,0.177647,5376,5504,0,0.904960,0.402115,of the text. If it r,96,0,0.000000
96,4,stay,1.639442,0.000332,0.298270,0.917226,0.177647,5504,5504,0,0.903970,0.512004,of the text. If it r,97,0,0.000000
97,3,fast_backward,1.561205,0.000429,0.336941,0.917313,0.217535,5504,4992,1,0.902980,0.303336,tive reading phase c,98,0,0.000000
98,0,forward,1.831443,0.000317,0.296783,0.916971,0.183160,4992,5120,0,0.901990,0.420667,fixed-length charac,99,0,0.000000
99,3,fast_backward,2.024895,0.000452,0.348463,0.917642,0.231827,5120,4608,1,0.901000,0.599562,"ics of the text, fre",100,1,-0.000077
100,0,forward,1.584108,0.000278,0.308306,0.917047,0.181195,4608,4736,0,0.868330,0.333491,was extended with a,101,0,0.000000
101,2,fast_forward,1.361377,0.000298,0.336670,0.917410,0.201111,4736,5248,0,0.867340,0.334536,ervation vector usin,102,0,0.000000
102,4,stay,1.772707,0.000294,0.336908,0.917499,0.201111,5248,5248,0,0.866350,0.504984,ervation vector usin,103,0,0.000000
103,0,forward,1.936991,0.000527,0.369262,0.917447,0.248801,5248,5376,0,0.865360,0.348189,ation of the text lo,104,0,0.000000
104,3,fast_backward,1.682664,0.000460,0.338437,0.917324,0.212515,5376,4864,1,0.864370,0.491827,nfamiliar passages o,105,0,0.000000
105,4,stay,1.337382,0.000457,0.337725,0.917334,0.212515,4864,4864,0,0.863380,0.483817,nfamiliar passages o,106,0,0.000000
106,2,fast_forward,1.527547,0.000518,0.369693,0.917505,0.248801,4864,5376,0,0.862390,0.457048,ation of the text lo,107,0,0.000000
107,0,forward,1.419734,0.000336,0.304458,0.917088,0.177647,5376,5504,0,0.861400,0.503373,of the text. If it r,108,0,0.000000
108,2,fast_forward,1.662201,0.000339,0.320752,0.917065,0.199703,5504,6016,0,0.860410,0.494692,del has no pretraine,109,0,0.000000
109,3,fast_backward,1.691025,0.000323,0.301825,0.916984,0.177647,6016,5504,1,0.859420,0.317530,of the text. If it r,110,0,0.000000
110,0,forward,1.186986,0.000342,0.299683,0.916609,0.179660,5504,5632,0,0.858430,0.301461,ditional diagnostic,111,0,0.000000
111,2,fast_forward,1.486108,0.000265,0.323223,0.916847,0.197463,5632,6144,0,0.857440,0.296112,put from scratch. Ac,112,0,0.000000
112,0,forward,1.490201,0.000379,0.333527,0.917291,0.213189,6144,6272,0,0.856450,0.270959,s it to minimise fre,113,0,0.000000
113,3,fast_backward,1.642293,0.000299,0.325294,0.917761,0.189174,6272,5760,1,0.855460,0.418824,prediction error. Co,114,0,0.000000
114,0,forward,1.385723,0.000274,0.326396,0.918001,0.191817,5760,5888,0,0.854470,0.499863,roject tests whether,115,0,0.000000
115,2,fast_forward,1.505926,0.000656,0.377134,0.917609,0.262808,5888,6400,0,0.853480,0.504658,"cters, the free ener",116,0,0.000000
116,0,forward,1.506677,0.000422,0.354034,0.917554,0.229475,6400,6528,0,0.852490,0.372241,tatistics of the tex,117,0,0.000000
117,3,fast_backward,1.745178,0.000334,0.320319,0.917099,0.199703,6528,6016,1,0.851500,0.361349,del has no pretraine,118,0,0.000000
118,3,fast_backward,1.682280,0.000323,0.301390,0.916978,0.177647,6016,5504,1,0.850510,0.441212,of the text. If it r,119,0,0.000000
119,2,fast_forward,1.367378,0.000332,0.318450,0.916666,0.199703,5504,6016,0,0.849520,0.453668,del has no pretraine,120,0,0.000000
120,0,forward,1.807495,0.000259,0.324599,0.916989,0.197463,6016,6144,0,0.848530,0.354864,put from scratch. Ac,121,0,0.000000
121,1,backward,1.168430,0.000329,0.317969,0.916869,0.199703,6144,6016,1,0.847540,0.420030,del has no pretraine,122,0,0.000000
122,0,forward,1.900494,0.000256,0.324228,0.916717,0.197463,6016,6144,0,0.846550,0.401820,put from scratch. Ac,123,0,0.000000
123,0,forward,1.618508,0.000372,0.334605,0.917390,0.213189,6144,6272,0,0.845560,0.501953,s it to minimise fre,124,0,0.000000
124,0,forward,2.045649,0.000640,0.378614,0.917215,0.262808,6272,6400,0,0.844570,0.512687,"cters, the free ener",125,0,0.000000
125,1,backward,1.624418,0.000360,0.338133,0.917258,0.213189,6400,6272,1,0.843580,0.413201,s it to minimise fre,126,0,0.000000
126,2,fast_forward,1.310427,0.000496,0.343225,0.917239,0.217662,6272,6784,0,0.842590,0.391204,seek unfamiliar pass,127,0,0.000000
127,4,stay,1.181181,0.000492,0.342713,0.917091,0.217662,6784,6784,0,0.841600,0.463125,seek unfamiliar pass,128,0,0.000000
128,0,forward,1.187569,0.000392,0.342415,0.917325,0.217235,6784,6912,0,0.840610,0.319808,the active reading p,129,0,0.000000
129,4,stay,1.565908,0.000389,0.342740,0.917040,0.217235,6912,6912,0,0.839620,0.303785,the active reading p,130,0,0.000000
130,1,backward,1.512392,0.000488,0.342991,0.917440,0.217662,6912,6784,1,0.838630,0.506275,seek unfamiliar pass,131,0,0.000000
131,0,forward,1.576433,0.000386,0.342694,0.917218,0.217235,6784,6912,0,0.837640,0.518946,the active reading p,132,0,0.000000
132,4,stay,1.524387,0.000383,0.343008,0.917285,0.217235,6912,6912,0,0.836650,0.366811,the active reading p,133,0,0.000000
133,1,backward,1.989511,0.000485,0.343208,0.917121,0.217662,6912,6784,1,0.835660,0.516337,seek unfamiliar pass,134,0,0.000000
134,2,fast_forward,1.583672,0.000544,0.374360,0.917530,0.253256,6784,7296,0,0.834670,0.511215,Evaluation of the t,135,0,0.000000
135,0,forward,1.226685,0.000287,0.304177,0.917124,0.172094,7296,7424,0,0.833680,0.393633,stics of the text. I,136,0,0.000000
136,3,fast_backward,1.700834,0.000380,0.343458,0.917571,0.217235,7424,6912,1,0.832690,0.395714,the active reading p,137,0,0.000000
137,3,fast_backward,1.533356,0.000618,0.380176,0.917566,0.262808,6912,6400,1,0.831700,0.450225,"cters, the free ener",138,0,0.000000
138,1,backward,1.700769,0.000347,0.340856,0.917526,0.213189,6400,6272,1,0.830710,0.495726,s it to minimise fre,139,0,0.000000
139,2,fast_forward,1.678165,0.000480,0.346108,0.917322,0.217662,6272,6784,0,0.829720,0.256440,seek unfamiliar pass,140,0,0.000000
140,2,fast_forward,1.821003,0.000529,0.376918,0.917355,0.253256,6784,7296,0,0.828730,0.333448,Evaluation of the t,141,0,0.000000
141,1,backward,1.188306,0.000278,0.337257,0.917397,0.194987,7296,7168,1,0.827740,0.351228,im observation vecto,142,0,0.000000
142,1,backward,1.738827,0.000356,0.314210,0.916503,0.192507,7168,7040,1,0.826750,0.481143,reads fixed-length,143,0,0.000000
143,3,fast_backward,1.904067,0.000401,0.358639,0.917519,0.229475,7040,6528,1,0.825760,0.359210,tatistics of the tex,144,0,0.000000
