step,action_discrete,action_vec_norm,free_energy,prediction_error,confidence,obs_norm,pos_before,pos_after,wrapped,text_preview
0,13,1.241719,0.001074,0.201569,0.897336,0.186413,0,128,0,er a free-energy-min
1,5,1.507099,0.001120,0.211057,0.916815,0.195890,128,256,0,"ned embeddings, no t"
2,0,1.546284,0.001047,0.204006,0.916665,0.192597,256,384,0,Active inference pro
3,15,1.447758,0.001622,0.253521,0.917454,0.237833,384,512,0,"ree energy, which is"
4,14,1.675780,0.001725,0.261881,0.917864,0.248914,512,640,0,ergy reflects how pr
5,3,1.302348,0.001513,0.256438,0.917170,0.236386,640,768,0,"ext, free energy sho"
6,0,1.811425,0.000662,0.189274,0.917273,0.165020,768,896,0,d with an informatio
7,15,1.634318,0.001222,0.239811,0.917380,0.217769,896,1024,0,ssages or re-read pa
8,10,1.593950,0.001241,0.247127,0.917387,0.222530,1024,1152,0,phase comes next. T
9,7,1.625274,0.000701,0.207033,0.917103,0.179216,1152,1280,0,h character blocks i
10,1,2.036839,0.000913,0.229268,0.917344,0.200901,1280,1408,0,tor using a random p
11,15,1.887441,0.001745,0.293593,0.917550,0.263143,1408,1536,0,text loop focuses o
12,1,1.729666,0.000607,0.205068,0.917156,0.169394,1536,1664,0,"If it remains flat,"
13,1,1.445481,0.000738,0.223592,0.917596,0.184100,1664,1792,0,gnostic signals. A s
14,3,1.766167,0.000949,0.242057,0.917550,0.200430,1792,1920,0,rror. Cognitive emer
15,11,1.380859,0.000748,0.227923,0.917420,0.188672,1920,2048,0,whether a free-ener
16,9,1.855212,0.000798,0.234132,0.917166,0.194097,2048,2176,0,retrained embeddings
17,3,1.357968,0.000750,0.229964,0.916882,0.192752,2176,2304,0,atch. Active inferen
18,10,1.833422,0.001193,0.270120,0.917317,0.231309,2304,2432,0,"mise free energy, wh"
19,11,1.142105,0.001363,0.287858,0.917829,0.248006,2432,2560,0,ree energy reflects
20,4,1.098334,0.001252,0.287341,0.917133,0.240073,2560,2688,0,"the text, free ener"
21,1,2.009869,0.000555,0.229421,0.917151,0.170735,2688,2816,0,xtended with an info
22,15,1.854373,0.001004,0.268099,0.917902,0.219011,2816,2944,0,iar passages or re-r
23,14,2.019686,0.000979,0.273995,0.917103,0.218552,2944,3072,0,eading phase comes n
24,14,1.567747,0.000524,0.235991,0.917163,0.180657,3072,3200,0,-length character bl
25,1,1.715898,0.000650,0.252924,0.917410,0.194453,3200,3328,0,on vector using a ra
26,1,1.784218,0.001488,0.319662,0.917395,0.262342,3328,3456,0,of the text loop foc
27,9,1.825397,0.000518,0.236486,0.917144,0.169433,3456,3584,0,text. If it remains
28,1,1.619813,0.000633,0.249616,0.916820,0.185869,3584,3712,0,al diagnostic signal
29,2,2.001076,0.000748,0.266175,0.917737,0.192127,3712,3840,0,tion error. Cognitiv
30,4,1.671352,0.000692,0.260837,0.917609,0.197040,3840,3968,0,tests whether a fre
31,1,1.541417,0.000692,0.259591,0.916802,0.194548,3968,4096,0,s no pretrained embe
32,8,1.722105,0.000669,0.260440,0.916727,0.199042,4096,4224,0,om scratch. Active i
33,8,1.290952,0.000861,0.279605,0.917350,0.212722,4224,4352,0,o minimise free ener
34,15,1.771324,0.001344,0.321267,0.917306,0.260843,4352,4480,0,the free energy ref
35,2,1.084477,0.001035,0.306946,0.917762,0.231827,4480,4608,0,"ics of the text, fre"
36,0,2.208747,0.000549,0.263766,0.916928,0.181195,4608,4736,0,was extended with a
37,7,2.125056,0.000830,0.281973,0.917236,0.212515,4736,4864,0,nfamiliar passages o
38,4,1.256715,0.000858,0.297653,0.917078,0.217535,4864,4992,0,tive reading phase c
39,13,1.456223,0.000469,0.259272,0.916689,0.183160,4992,5120,0,fixed-length charac
40,11,1.740617,0.000622,0.282448,0.917683,0.201111,5120,5248,0,ervation vector usin
41,10,1.677352,0.001187,0.329462,0.917500,0.248801,5248,5376,0,ation of the text lo
42,9,1.777511,0.000495,0.264659,0.916932,0.177647,5376,5504,0,of the text. If it r
43,14,1.343538,0.000536,0.264047,0.916799,0.179660,5504,5632,0,ditional diagnostic
44,3,2.058856,0.000663,0.286001,0.917618,0.189174,5632,5760,0,prediction error. Co
45,7,1.619521,0.000592,0.279717,0.917570,0.191817,5760,5888,0,roject tests whether
46,3,1.146073,0.000653,0.281805,0.916790,0.199703,5888,6016,0,del has no pretraine
47,13,1.918912,0.000588,0.279262,0.916914,0.197463,6016,6144,0,put from scratch. Ac
48,3,2.171624,0.000800,0.298520,0.917248,0.213189,6144,6272,0,s it to minimise fre
49,13,1.733538,0.001255,0.341204,0.917257,0.262808,6272,6400,0,"cters, the free ener"
50,4,1.479610,0.000946,0.321673,0.917745,0.229475,6400,6528,0,tatistics of the tex
51,9,1.540741,0.000475,0.278812,0.917033,0.178498,6528,6656,0,model was extended
52,1,1.402163,0.000851,0.305342,0.917143,0.217662,6656,6784,0,seek unfamiliar pass
53,9,1.078026,0.000783,0.314838,0.917069,0.217235,6784,6912,0,the active reading p
54,4,1.538705,0.000493,0.281704,0.916692,0.192507,6912,7040,0,reads fixed-length
55,14,1.222726,0.000516,0.293440,0.917563,0.194987,7040,7168,0,im observation vecto
56,4,1.675512,0.001149,0.350076,0.917235,0.253256,7168,7296,0,Evaluation of the t
57,5,1.492871,0.000432,0.276500,0.917344,0.172094,7296,7424,0,stics of the text. I
58,12,1.363080,0.000498,0.278845,0.916531,0.179100,7424,7552,0,ide additional diagn
59,5,1.151415,0.000616,0.299413,0.917797,0.187934,7552,7680,0,unded prediction err
60,0,1.472453,0.000551,0.295547,0.918039,0.191912,7680,7808,0,odel project tests w
61,5,1.820152,0.000561,0.294222,0.917081,0.187979,7808,7936,0,The model has no pre
62,1,1.581362,0.000576,0.295742,0.918124,0.189204,7936,64,1,a self-organising s
63,11,1.434458,0.000621,0.296531,0.917187,0.208369,64,192,0,ts from raw pixel or
64,3,1.441345,0.000623,0.305313,0.917539,0.198672,192,320,0,must discover the s
65,3,1.357355,0.000613,0.295740,0.917240,0.194020,320,448,0,maintains a belief
66,1,1.329658,0.001009,0.338973,0.917414,0.249400,448,576,0,belief. When the age
67,9,1.652435,0.001307,0.366178,0.917147,0.268694,576,704,0,en the belief state.
68,5,1.337245,0.000450,0.290439,0.917595,0.179710,704,832,0,out informative obs
69,10,1.519437,0.000596,0.311805,0.917319,0.200233,832,960,0,"t reading, curiosity"
70,4,1.751188,0.000739,0.317371,0.917332,0.211605,960,1088,0,This phase lays the
71,9,1.456430,0.000441,0.296314,0.917355,0.186874,1088,1216,0,tracked view over a
72,10,1.332959,0.000433,0.302404,0.917374,0.190318,1216,1344,0,read. The encoder ma
73,15,1.602108,0.001193,0.367334,0.917286,0.264284,1344,1472,0,he same block always
74,15,1.670267,0.000737,0.324917,0.916974,0.217013,1472,1600,0,"ses over time, the m"
75,11,1.660906,0.000478,0.272821,0.916853,0.160017,1600,1728,0,"rror, confidence, an"
76,6,1.536847,0.000586,0.318322,0.917696,0.193984,1728,1856,0,ree-energy curve wit
77,14,1.427496,0.000588,0.309896,0.917594,0.192042,1856,1984,0,ure in a self-organi
78,1,1.628580,0.000536,0.302057,0.917183,0.200019,1984,2112,0,concepts from raw pi
79,10,1.777727,0.000621,0.319973,0.917556,0.202474,2112,2240,0,el. It must discover
80,9,1.563660,0.000598,0.309138,0.917279,0.196872,2240,2368,0,agent maintains a b
81,2,1.444851,0.000986,0.348704,0.917446,0.253164,2368,2496,0,n its belief. When t
82,10,1.214881,0.001121,0.365111,0.917001,0.254857,2496,2624,0,is given the belief
83,10,1.174788,0.000450,0.303516,0.918059,0.182596,2624,2752,0,o seek out informati
84,0,1.391483,0.000596,0.324684,0.917448,0.203082,2752,2880,0,"or text reading, cur"
85,13,1.516772,0.000736,0.330492,0.917347,0.217321,2880,3008,0,rror. This phase lay
86,4,1.484236,0.000382,0.303343,0.917443,0.178985,3008,3136,0,ition-tracked view o
87,0,1.529848,0.000407,0.311697,0.917444,0.189282,3136,3264,0,at is read. The enco
88,11,1.736162,0.001095,0.369159,0.917277,0.259252,3264,3392,0,ams. The same block
89,14,1.900729,0.000737,0.337079,0.916834,0.222350,3392,3520,0,"decreases over time,"
90,9,1.671958,0.000444,0.284773,0.916567,0.159172,3520,3648,0,"tion error, confiden"
91,1,1.591905,0.000548,0.322821,0.917692,0.189341,3648,3776,0,ding free-energy cur
92,8,1.351981,0.000598,0.320938,0.917617,0.197382,3776,3904,0,structure in a self-
93,9,1.727781,0.000458,0.303827,0.917288,0.190890,3904,4032,0,istic concepts from
94,4,1.526597,0.000599,0.329148,0.917501,0.202291,4032,4160,0,ge model. It must di
95,12,1.733718,0.000545,0.313836,0.917066,0.196163,4160,4288,0,n. The agent maintai
96,14,1.816103,0.001002,0.359929,0.917439,0.254989,4288,4416,0,s given its belief.
97,9,1.504926,0.001009,0.366136,0.917313,0.249817,4416,4544,0,block is given the b
98,14,1.668227,0.000478,0.318118,0.917253,0.189828,4544,4672,0,rive to seek out inf
99,2,1.789242,0.000545,0.327640,0.917370,0.198245,4672,4800,0,ion. For text readin
100,3,1.233089,0.000752,0.342363,0.917055,0.219685,4800,4928,0,tion error. This pha
101,1,1.345892,0.000404,0.314927,0.917691,0.184667,4928,5056,0,"c, position-tracked"
102,4,1.749938,0.000364,0.313052,0.917411,0.186602,5056,5184,0,ing what is read. Th
103,5,1.634882,0.000973,0.367719,0.917364,0.249994,5184,5312,0,istograms. The same
104,5,1.544837,0.000759,0.348591,0.916969,0.227980,5312,5440,0,curve decreases over
105,14,1.927468,0.000444,0.290793,0.916748,0.154743,5440,5568,0,"prediction error, co"
106,1,1.260553,0.000555,0.331033,0.917405,0.192938,5568,5696,0,d-trending free-ener
107,14,1.675859,0.000587,0.328576,0.917580,0.200565,5696,5824,0,on of structure in a
108,9,1.329507,0.000434,0.310666,0.917085,0.188066,5824,5952,0,-linguistic concepts
109,15,1.745132,0.000612,0.336482,0.917760,0.205536,5952,6080,0,language model. It m
110,3,1.659569,0.000529,0.318365,0.917600,0.196460,6080,6208,0,ndation. The agent m
111,9,1.985215,0.000872,0.357552,0.917564,0.243630,6208,6336,0,vations given its be
112,10,1.637444,0.000951,0.369538,0.917581,0.245984,6336,6464,0,acter block is given
113,14,1.433139,0.000463,0.320968,0.916752,0.190720,6464,6592,0,the drive to seek o
114,5,1.298343,0.000581,0.339380,0.917149,0.206858,6592,6720,0,selection. For text
115,0,1.523853,0.000783,0.353712,0.917465,0.227595,6720,6848,0,prediction error. Th
116,3,1.232652,0.000370,0.315093,0.917352,0.175305,6848,6976,0,"inistic, position-tr"
117,5,1.445951,0.000354,0.315988,0.917134,0.183127,6976,7104,0,fluencing what is re
118,5,1.545326,0.000909,0.369968,0.917731,0.245710,7104,7232,0,cter histograms. The
119,8,1.405028,0.000776,0.354298,0.916904,0.230768,7232,7360,0,f the curve decrease
120,9,1.360961,0.000429,0.303304,0.916579,0.159630,7360,7488,0,. The prediction err
121,3,1.883907,0.000529,0.331085,0.917217,0.191692,7488,7616,0,ownward-trending fre
122,15,1.644545,0.000526,0.328918,0.918154,0.194109,7616,7744,0,ormation of structur
123,15,1.460507,0.000425,0.315684,0.917260,0.187340,7744,7872,0,rm pre-linguistic co
124,8,1.506226,0.000639,0.342110,0.917832,0.205664,7872,0,1,Cognitive emergence
125,4,1.346022,0.000455,0.320403,0.917772,0.186413,0,128,0,er a free-energy-min
126,1,1.381410,0.000498,0.320292,0.916848,0.195890,128,256,0,"ned embeddings, no t"
127,5,1.382198,0.000498,0.323908,0.916814,0.192597,256,384,0,Active inference pro
128,6,1.290052,0.000847,0.359304,0.917379,0.237833,384,512,0,"ree energy, which is"
129,0,1.353772,0.000916,0.370031,0.917073,0.248914,512,640,0,ergy reflects how pr
130,12,1.595120,0.000849,0.368876,0.917252,0.236386,640,768,0,"ext, free energy sho"
131,12,1.110318,0.000367,0.312761,0.917346,0.165020,768,896,0,d with an informatio
132,8,1.434630,0.000704,0.345713,0.917078,0.217769,896,1024,0,ssages or re-read pa
133,14,1.313612,0.000710,0.356387,0.917166,0.222530,1024,1152,0,phase comes next. T
134,13,1.734519,0.000315,0.311864,0.916613,0.179216,1152,1280,0,h character blocks i
135,2,1.737403,0.000449,0.332207,0.917456,0.200901,1280,1408,0,tor using a random p
136,0,1.646848,0.001127,0.393738,0.917559,0.263143,1408,1536,0,text loop focuses o
137,15,1.437517,0.000457,0.307887,0.916880,0.169394,1536,1664,0,"If it remains flat,"
138,0,1.831835,0.000482,0.320413,0.916856,0.184100,1664,1792,0,gnostic signals. A s
139,4,0.989143,0.000609,0.344681,0.917627,0.200430,1792,1920,0,rror. Cognitive emer
140,6,1.179423,0.000428,0.322740,0.917736,0.188672,1920,2048,0,whether a free-ener
141,13,1.449823,0.000501,0.326060,0.916998,0.194097,2048,2176,0,retrained embeddings
142,0,1.459181,0.000463,0.325291,0.916834,0.192752,2176,2304,0,atch. Active inferen
143,0,1.221011,0.000779,0.355781,0.917157,0.231309,2304,2432,0,"mise free energy, wh"
144,5,1.899828,0.000906,0.375291,0.917315,0.248006,2432,2560,0,ree energy reflects
145,3,1.626830,0.000853,0.373586,0.917404,0.240073,2560,2688,0,"the text, free ener"
146,3,1.551174,0.000387,0.322232,0.917486,0.170735,2688,2816,0,xtended with an info
147,3,1.607998,0.000702,0.348974,0.917249,0.219011,2816,2944,0,iar passages or re-r
148,15,1.321159,0.000687,0.356321,0.917071,0.218552,2944,3072,0,eading phase comes n
149,0,1.390025,0.000313,0.314243,0.916992,0.180657,3072,3200,0,-length character bl
150,12,1.098643,0.000404,0.332153,0.917989,0.194453,3200,3328,0,on vector using a ra
151,6,1.601534,0.001103,0.395558,0.917730,0.262342,3328,3456,0,of the text loop foc
152,15,1.946710,0.000420,0.314664,0.917124,0.169433,3456,3584,0,text. If it remains
153,12,1.655341,0.000483,0.320088,0.916955,0.185869,3584,3712,0,al diagnostic signal
154,7,1.585373,0.000555,0.344270,0.917620,0.192127,3712,3840,0,tion error. Cognitiv
155,5,1.405744,0.000473,0.332274,0.917485,0.197040,3840,3968,0,tests whether a fre
156,10,1.592813,0.000513,0.328567,0.917016,0.194548,3968,4096,0,s no pretrained embe
157,10,1.527743,0.000473,0.330853,0.916879,0.199042,4096,4224,0,om scratch. Active i
158,3,1.415258,0.000630,0.346868,0.917367,0.212722,4224,4352,0,o minimise free ener
159,4,1.537084,0.001024,0.385841,0.917213,0.260843,4352,4480,0,the free energy ref
160,1,1.553577,0.000790,0.372792,0.917290,0.231827,4480,4608,0,"ics of the text, fre"
161,4,1.395631,0.000420,0.331326,0.917188,0.181195,4608,4736,0,was extended with a
162,1,1.654765,0.000649,0.341857,0.917123,0.212515,4736,4864,0,nfamiliar passages o
163,6,1.515883,0.000661,0.359820,0.916959,0.217535,4864,4992,0,tive reading phase c
164,6,1.638390,0.000339,0.316511,0.916713,0.183160,4992,5120,0,fixed-length charac
165,2,1.417797,0.000455,0.341443,0.917380,0.201111,5120,5248,0,ervation vector usin
166,7,1.304011,0.000948,0.387265,0.917279,0.248801,5248,5376,0,ation of the text lo
167,10,1.046881,0.000403,0.322198,0.917090,0.177647,5376,5504,0,of the text. If it r
168,4,1.352097,0.000449,0.317712,0.916813,0.179660,5504,5632,0,ditional diagnostic
169,1,1.539089,0.000539,0.343904,0.917759,0.189174,5632,5760,0,prediction error. Co
170,6,1.430110,0.000452,0.334634,0.917752,0.191817,5760,5888,0,roject tests whether
171,9,1.247413,0.000524,0.332591,0.916742,0.199703,5888,6016,0,del has no pretraine
172,12,1.563535,0.000457,0.331807,0.917307,0.197463,6016,6144,0,put from scratch. Ac
173,15,1.472683,0.000643,0.349815,0.917280,0.213189,6144,6272,0,s it to minimise fre
174,8,1.488064,0.001031,0.388660,0.917311,0.262808,6272,6400,0,"cters, the free ener"
175,0,1.521673,0.000780,0.371963,0.917411,0.229475,6400,6528,0,tatistics of the tex
176,11,1.740878,0.000396,0.329064,0.916955,0.178498,6528,6656,0,model was extended
177,14,1.626583,0.000721,0.349927,0.917295,0.217662,6656,6784,0,seek unfamiliar pass
178,12,1.447639,0.000643,0.361874,0.917530,0.217235,6784,6912,0,the active reading p
179,12,1.165576,0.000398,0.323493,0.917019,0.192507,6912,7040,0,reads fixed-length
180,2,1.746077,0.000409,0.338024,0.917621,0.194987,7040,7168,0,im observation vecto
181,4,1.556478,0.000978,0.392895,0.917780,0.253256,7168,7296,0,Evaluation of the t
182,10,1.171639,0.000369,0.320828,0.917084,0.172094,7296,7424,0,stics of the text. I
183,4,1.428492,0.000437,0.319334,0.916608,0.179100,7424,7552,0,ide additional diagn
184,15,1.637636,0.000531,0.342337,0.917715,0.187934,7552,7680,0,unded prediction err
185,10,1.582800,0.000456,0.336686,0.917739,0.191912,7680,7808,0,odel project tests w
186,0,1.496888,0.000480,0.334483,0.917007,0.187979,7808,7936,0,The model has no pre
187,3,1.481206,0.000490,0.336063,0.917726,0.189204,7936,64,1,a self-organising s
188,0,1.223862,0.000528,0.330876,0.916495,0.208369,64,192,0,ts from raw pixel or
189,0,1.895657,0.000528,0.344988,0.917430,0.198672,192,320,0,must discover the s
190,12,1.336711,0.000529,0.334147,0.917203,0.194020,320,448,0,maintains a belief
191,9,1.811060,0.000869,0.372516,0.917214,0.249400,448,576,0,belief. When the age
192,11,1.364681,0.001157,0.400891,0.917222,0.268694,576,704,0,en the belief state.
193,12,1.599674,0.000391,0.327385,0.916842,0.179710,704,832,0,out informative obs
194,1,1.310229,0.000520,0.344791,0.917460,0.200233,832,960,0,"t reading, curiosity"
195,6,1.408343,0.000646,0.351809,0.917240,0.211605,960,1088,0,This phase lays the
196,13,1.693191,0.000375,0.328796,0.917093,0.186874,1088,1216,0,tracked view over a
197,0,1.335814,0.000371,0.333608,0.917305,0.190318,1216,1344,0,read. The encoder ma
198,12,1.860116,0.001070,0.397038,0.917611,0.264284,1344,1472,0,he same block always
199,4,1.535213,0.000650,0.356675,0.916929,0.217013,1472,1600,0,"ses over time, the m"
200,15,0.770731,0.000473,0.301831,0.917060,0.160017,1600,1728,0,"rror, confidence, an"
201,1,1.770090,0.000520,0.349326,0.917773,0.193984,1728,1856,0,ree-energy curve wit
202,7,1.326293,0.000523,0.340041,0.917815,0.192042,1856,1984,0,ure in a self-organi
203,13,1.473323,0.000476,0.328199,0.916921,0.200019,1984,2112,0,concepts from raw pi
204,15,1.669746,0.000549,0.349879,0.917431,0.202474,2112,2240,0,el. It must discover
205,2,1.489108,0.000533,0.338115,0.917075,0.196872,2240,2368,0,agent maintains a b
206,13,1.084103,0.000884,0.373697,0.917122,0.253164,2368,2496,0,n its belief. When t
207,9,1.770061,0.001019,0.392006,0.917249,0.254857,2496,2624,0,is given the belief
208,14,1.450276,0.000403,0.331315,0.917112,0.182596,2624,2752,0,o seek out informati
209,7,1.764058,0.000537,0.349898,0.917341,0.203082,2752,2880,0,"or text reading, cur"
210,11,1.737016,0.000662,0.355874,0.917113,0.217321,2880,3008,0,rror. This phase lay
211,15,1.427614,0.000340,0.328316,0.917272,0.178985,3008,3136,0,ition-tracked view o
212,10,1.529961,0.000363,0.335623,0.917678,0.189282,3136,3264,0,at is read. The enco
213,4,1.975014,0.001009,0.391716,0.917453,0.259252,3264,3392,0,ams. The same block
214,11,1.371892,0.000668,0.360508,0.916834,0.222350,3392,3520,0,"decreases over time,"
215,4,1.358650,0.000438,0.307292,0.916718,0.159172,3520,3648,0,"tion error, confiden"
216,15,1.478246,0.000504,0.346047,0.917260,0.189341,3648,3776,0,ding free-energy cur
217,4,1.256785,0.000548,0.343520,0.917755,0.197382,3776,3904,0,structure in a self-
218,13,1.347902,0.000417,0.324270,0.916922,0.190890,3904,4032,0,istic concepts from
219,6,1.351491,0.000547,0.351789,0.917333,0.202291,4032,4160,0,ge model. It must di
220,9,1.407169,0.000496,0.335669,0.917104,0.196163,4160,4288,0,n. The agent maintai
221,6,1.246791,0.000925,0.379095,0.917268,0.254989,4288,4416,0,s given its belief.
222,15,1.517523,0.000935,0.386408,0.917265,0.249817,4416,4544,0,block is given the b
223,7,1.604811,0.000438,0.339167,0.916940,0.189828,4544,4672,0,rive to seek out inf
224,12,1.600794,0.000505,0.346731,0.917179,0.198245,4672,4800,0,ion. For text readin
225,9,1.373969,0.000695,0.361962,0.917272,0.219685,4800,4928,0,tion error. This pha
226,7,1.542123,0.000373,0.333480,0.917203,0.184667,4928,5056,0,"c, position-tracked"
227,0,1.305001,0.000332,0.331116,0.917363,0.186602,5056,5184,0,ing what is read. Th
228,15,1.468127,0.000912,0.385220,0.917350,0.249994,5184,5312,0,istograms. The same
229,15,1.680259,0.000705,0.366293,0.917055,0.227980,5312,5440,0,curve decreases over
230,13,1.575108,0.000440,0.308206,0.916904,0.154743,5440,5568,0,"prediction error, co"
231,5,1.183996,0.000521,0.348436,0.917772,0.192938,5568,5696,0,d-trending free-ener
232,8,1.653656,0.000549,0.345659,0.917657,0.200565,5696,5824,0,on of structure in a
233,6,1.475169,0.000405,0.326346,0.917023,0.188066,5824,5952,0,-linguistic concepts
234,10,1.382336,0.000572,0.353532,0.917583,0.205536,5952,6080,0,language model. It m
235,13,1.379981,0.000494,0.334869,0.916944,0.196460,6080,6208,0,ndation. The agent m
236,13,1.649533,0.000818,0.372511,0.917401,0.243630,6208,6336,0,vations given its be
237,4,1.583683,0.000896,0.385058,0.917311,0.245984,6336,6464,0,acter block is given
238,2,1.765739,0.000434,0.336819,0.917275,0.190720,6464,6592,0,the drive to seek o
239,6,1.652547,0.000546,0.353909,0.917429,0.206858,6592,6720,0,selection. For text
240,11,1.585129,0.000738,0.368188,0.917186,0.227595,6720,6848,0,prediction error. Th
241,7,1.358053,0.000350,0.329648,0.917322,0.175305,6848,6976,0,"inistic, position-tr"
242,3,1.191679,0.000332,0.329755,0.917072,0.183127,6976,7104,0,fluencing what is re
243,11,1.432243,0.000864,0.383358,0.917846,0.245710,7104,7232,0,cter histograms. The
244,2,1.483791,0.000735,0.367806,0.917031,0.230768,7232,7360,0,f the curve decrease
245,5,1.159454,0.000422,0.316645,0.916917,0.159630,7360,7488,0,. The prediction err
246,2,1.675197,0.000504,0.344193,0.917193,0.191692,7488,7616,0,ownward-trending fre
247,0,1.490887,0.000499,0.342175,0.917494,0.194109,7616,7744,0,ormation of structur
248,10,1.116367,0.000402,0.327689,0.917187,0.187340,7744,7872,0,rm pre-linguistic co
249,12,1.201273,0.000609,0.355234,0.917478,0.205664,7872,0,1,Cognitive emergence
250,4,1.522660,0.000433,0.332464,0.917986,0.186413,0,128,0,er a free-energy-min
251,0,1.322262,0.000472,0.331985,0.916784,0.195890,128,256,0,"ned embeddings, no t"
252,3,1.458027,0.000474,0.336302,0.916883,0.192597,256,384,0,Active inference pro
253,8,1.640034,0.000808,0.370496,0.917160,0.237833,384,512,0,"ree energy, which is"
254,8,1.162784,0.000876,0.381409,0.917501,0.248914,512,640,0,ergy reflects how pr
255,15,1.726738,0.000813,0.379819,0.917013,0.236386,640,768,0,"ext, free energy sho"
256,14,1.654997,0.000355,0.324562,0.917448,0.165020,768,896,0,d with an informatio
257,9,1.330868,0.000677,0.356081,0.917333,0.217769,896,1024,0,ssages or re-read pa
258,8,1.301588,0.000681,0.366709,0.917240,0.222530,1024,1152,0,phase comes next. T
259,15,1.192495,0.000299,0.322070,0.917226,0.179216,1152,1280,0,h character blocks i
260,5,1.386455,0.000428,0.342339,0.917254,0.200901,1280,1408,0,tor using a random p
261,2,1.789967,0.001089,0.403518,0.917470,0.263143,1408,1536,0,text loop focuses o
262,4,1.622153,0.000450,0.317659,0.917277,0.169394,1536,1664,0,"If it remains flat,"
263,2,1.615554,0.000467,0.329765,0.917080,0.184100,1664,1792,0,gnostic signals. A s
264,2,1.273213,0.000588,0.354613,0.917757,0.200430,1792,1920,0,rror. Cognitive emer
265,12,1.580554,0.000410,0.331986,0.917313,0.188672,1920,2048,0,whether a free-ener
266,0,1.662000,0.000482,0.335042,0.917051,0.194097,2048,2176,0,retrained embeddings
267,10,1.556315,0.000445,0.334742,0.916682,0.192752,2176,2304,0,atch. Active inferen
268,6,1.548001,0.000751,0.364454,0.917350,0.231309,2304,2432,0,"mise free energy, wh"
269,5,1.424393,0.000875,0.383879,0.917174,0.248006,2432,2560,0,ree energy reflects
270,10,1.430357,0.000825,0.382018,0.917137,0.240073,2560,2688,0,"the text, free ener"
271,7,1.271921,0.000376,0.331254,0.917270,0.170735,2688,2816,0,xtended with an info
